Year,GRTS_Population,n1,n2_M_and_UM,m,F_weir,A_weir,H_weir,MS_weir,NON_TWS_redds,NON_TWS_redd_miles,good_MR_data,comments,lat,lon
2010,Abernathy,69,308,39,102,209,25,209,0,0,1,137 minus duncan,46.225655,-123.148226
2011,Abernathy,69,103,31,88,145,22,107,0,0,1,101 minus duncan,46.225655,-123.148226
2012,Abernathy,20,164,13,75,164,2,164,0,0,1,,46.225655,-123.148226
2013,Abernathy,0,0,0,31,76,6,76,0,0,0,"F,A,H,MS from AFTC",46.225655,-123.148226
2014,Abernathy,0,0,0,203,449,55,449,0,0,0,"F,A,H,MS from AFTC",46.225655,-123.148226
2015,Abernathy,0,0,0,30,70,4,70,0,0,0,"F,A,H,MS from AFTC",46.225655,-123.148226
2016,Abernathy,0,0,0,121,218,29,218,0,0,0,"F,A,H,MS from AFTC",46.225655,-123.148226
2017,Abernathy,0,0,0,76,165,13,165,0,0,0,"F,A,H,MS from AFTC",46.225655,-123.148226
2018,Abernathy,0,0,0,40,98,15,98,0,0,0,"F,A,H,MS from AFTC",46.225655,-123.148226
2019,Abernathy,0,0,0,98,201,56,201,0,0,0,,46.225655,-123.148226
2020,Abernathy,0,0,0,0,0,0,8,0,0,0,"No mark recapture in 2020.  F, AS, H, MS from spawning ground surveys.",46.225655,-123.148226
2021,Abernathy,0,0,0,0,0,9,60,0,0,0,"No mark recapture in 2021.  F, AS, H, MS from spawning ground surveys.",46.225655,-123.148226
2010,Abernathy_Above AFTC,0,0,0,102,209,25,209,0,0,0,"same as whole basin F,AS,H,AS",46.225655,-123.148226
2011,Abernathy_Above AFTC,0,0,0,88,145,22,107,0,0,0,"same as whole basin F,AS,H,AS",46.225655,-123.148226
2012,Abernathy_Above AFTC,0,0,0,75,164,2,164,0,0,0,"same as whole basin F,AS,H,AS",46.225655,-123.148226
2013,Abernathy_Above AFTC,76,7,0,31,76,6,76,46,12.93,1,"same as whole basin F,AS,H,AS",46.225655,-123.148226
2014,Abernathy_Above AFTC,449,15,13,203,449,55,449,112,12.93,1,"same as whole basin F,AS,H,AS",46.225655,-123.148226
2015,Abernathy_Above AFTC,70,4,0,30,70,7,70,19,12.93,1,"redds from jamie 6/5/2018; same as whole basin F,AS,H,AS",46.225655,-123.148226
2016,Abernathy_Above AFTC,218,76,47,121,218,29,218,82,12.93,1,"same as whole basin F,AS,H,AS",46.225655,-123.148226
2017,Abernathy_Above AFTC,165,35,28,76,165,13,165,38,12.93,1,"same as whole basin F,AS,H,AS",46.225655,-123.148226
2018,Abernathy_Above AFTC,98,18,14,40,98,15,98,45,12.93,1,"same as whole basin F,AS,H,AS",46.225655,-123.148226
2019,Abernathy_Above AFTC,198,64,23,98,201,56,201,135,12.93,1,"same as whole basin F,AS,H,AS",46.225655,-123.148226
2020,Abernathy_Above AFTC,0,184,0,0,0,0,8,107,12.93,0,"No mark recapture in 2020.  F, AS, H, MS from spawning ground surveys.",46.225655,-123.148226
2021,Abernathy_Above AFTC,0,460,0,0,0,9,60,121,12.93,0,"No mark recapture in 2021.  F, AS, H, MS from spawning ground surveys.",46.225655,-123.148226
2010,Duncan_Above Weir,24,20,9,11,24,0,24,0,0,1,miles and redds are in GRTS sheets; weir not fish tight,45.615494,-122.040032
2011,Duncan_Above Weir,28,34,23,13,28,0,28,0,0,1,miles and redds are in GRTS sheets; weir not fish tight,45.615494,-122.040032
2012,Duncan_Above Weir,12,35,2,3,12,3,12,0,0,1,MRC and H & W from 2020IndividualWeirCalc.xlsx.  ,45.615494,-122.040032
2013,Duncan_Above Weir,15,16,16,9,15,0,1,0,0,1,MRC and H & W from 2020IndividualWeirCalc.xlsx.  ,45.615494,-122.040032
2014,Duncan_Above Weir,37,43,41,17,37,2,7,0,0,1,MRC and H & W from 2020IndividualWeirCalc.xlsx.  ,45.615494,-122.040032
2015,Duncan_Above Weir,11,5,5,3,11,0,1,0,0,1,MRC and H & W from 2020IndividualWeirCalc.xlsx.  ,45.615494,-122.040032
2016,Duncan_Above Weir,12,5,5,5,12,0,1,0,0,1,MRC and H & W from 2020IndividualWeirCalc.xlsx.  ,45.615494,-122.040032
2017,Duncan_Above Weir,6,21,5,2,6,2,6,0,0,1,MRC and H & W from 2020IndividualWeirCalc.xlsx.  ,45.615494,-122.040032
2018,Duncan_Above Weir,9,4,4,3,9,0,1,0,0,1,MRC and H & W from 2020IndividualWeirCalc.xlsx.  ,45.615494,-122.040032
2019,Duncan_Above Weir,45,55,49,21,45,1,20,0,0,1,MRC and H & W from 2020IndividualWeirCalc.xlsx.  ,45.615494,-122.040032
2020,Duncan_Above Weir,22,2,2,4,22,0,1,0,0,1,MRC and H & W from 2020IndividualWeirCalc.xlsx.  ,45.615494,-122.040032
2021,Duncan_Above Weir,76,32,31,32,76,0,5,0,0,1,MRC and H & W from 2021IndividualWeirCalc.xlsx.  ,45.615494,-122.040032
2010,Cedar,1041,274,128,,,99,308,0,0,0,"N2 only includes unclipped wire negative…should include hatchery fish, also only estimates abundance upstream of GRIST MILL!!!",45.938208,-122.583074
2011,Cedar,932,156,117,,,253,1006,0,0,0,"N2 only includes unclipped wire negative…should include hatchery fish,, also only estimates abundance upstream of GRIST MILL!!!",45.938208,-122.583074
2012,Cedar,497,121,45,240,497,0,23,0,0,0,MRC and H & W from 2020IndividualWeirCalc.xlsx.  Floys and opercle tags applied.,45.938208,-122.583074
2013,Cedar,659,194,104,294,659,22,69,0,0,0,MRC and H & W from 2020IndividualWeirCalc.xlsx.   Floys and opercle tags applied.,45.938208,-122.583074
