TRT_Population,GRTS_Population,Year,catch_adult_marked_mu,catch_adult_marked_var,catch_jack_marked_mu,catch_jack_marked_var,TH_adult_marked,TH_jack_marked,TH_adult_unmarked,TH_jack_unmarked,TH_adult_marked_female,TH_adult_unmarked_female,Comments
NF and Mainstem Toutle,Upper NF Toutle,2010,0,0,0,0,0,0,204,14,0,76,
NF and Mainstem Toutle,Upper NF Toutle,2011,0,0,0,0,0,0,56,7,0,11,
NF and Mainstem Toutle,Upper NF Toutle,2012,0,0,0,0,0,0,137,14,0,66,
NF and Mainstem Toutle,Upper NF Toutle,2013,0,0,0,0,0,0,366,20,0,153,
NF and Mainstem Toutle,Upper NF Toutle,2014,0,0,0,0,0,0,108,7,0,32,
NF and Mainstem Toutle,Upper NF Toutle,2015,0,0,0,0,0,0,85,7,0,25,
NF and Mainstem Toutle,Upper NF Toutle,2016,0,0,0,0,0,0,532,25,0,211,
NF and Mainstem Toutle,Upper NF Toutle,2017,0,0,0,0,0,0,39,2,0,13,
NF and Mainstem Toutle,Upper NF Toutle,2018,0,0,0,0,0,0,1,10,0,0,
NF and Mainstem Toutle,Upper NF Toutle,2019,0,0,0,0,0,0,460,11,0,203,
NF and Mainstem Toutle,Upper NF Toutle,2020,0,0,0,0,0,0,75,6,0,36,
NF and Mainstem Toutle,Upper NF Toutle,2021,0,0,0,0,0,0,58,132,0,16,
NF and Mainstem Toutle,Upper NF Toutle,2022,0,0,0,0,0,0,505,24,0,241,
NF and Mainstem Toutle,Upper NF Toutle,2023,0,0,0,0,0,0,316,8,0,159,
NF and Mainstem Toutle,Upper NF Toutle,2024,0,0,0,0,0,0,23,21,0,7,
Tilton,Tilton,2010,1213,8148.57,24,145.8,3199,243,929,104,1584,416,
Tilton,Tilton,2011,1854,17680.76,21,156.81,6191,442,2025,63,3281,998,
Tilton,Tilton,2012,1311,16055.98,118,905.14,4922,1583,1302,142,2393,566,
Tilton,Tilton,2013,1931,25071.35,269,2482.11,5620,7791,2744,230,2662,1151,
Tilton,Tilton,2014,978,6861.75,49,347.38,5899,313,9074,274,2638,3907,
Tilton,Tilton,2015,437,4840.66,152,1433.37,1987,4286,1392,138,766,565,
Tilton,Tilton,2016,1749,22491.08,212,2149.26,5995,1996,2703,330,3146,1191,
Tilton,Tilton,2017,779,8167.977058,118,1186.306426,6059,1335,5272,240,2877,2458,
Tilton,Tilton,2018,373,5632.489958,439,6709.668633,3570,9148,1335,233,1712,629,
Tilton,Tilton,2019,980,11803.76947,260,2810.69081,6676,798,1582,95,3336,704,
Tilton,Tilton,2020,1482,24302.86281,286,3907.493684,12442,7324,2430,355,6156,1072,
Tilton,Tilton,2021,3250,76676.32,1015,16910.18,11775,4390,6577,431,4359,2669,
Tilton,Tilton,2022,2858,61007.73,268,3521.64,11895,1441,7440,457,6164,3415,
Tilton,Tilton,2023,,,,,9083,4168,1367,92,4346,641,
Tilton,Tilton,2024,,,,,11850,1968,879,97,5505,402,
Upper Cowlitz and Cispus,Upper Cowlitz and Cispus,2010,2169,15670.02,30,182.69,21508,2551,2801,228,10524,1288,
Upper Cowlitz and Cispus,Upper Cowlitz and Cispus,2011,1946,18142.59,64,477.38,13716,634,7723,159,7199,3648,
Upper Cowlitz and Cispus,Upper Cowlitz and Cispus,2012,191,1505.74,22,165.53,2424,2930,1619,70,1203,658,
Upper Cowlitz and Cispus,Upper Cowlitz and Cispus,2013,2189,26041.29,286,2657.32,7941,4997,4,29,3780,2,
Upper Cowlitz and Cispus,Upper Cowlitz and Cispus,2014,2558,17600.87,154,1091.3,25147,1185,6923,37,11876,3275,
Upper Cowlitz and Cispus,Upper Cowlitz and Cispus,2015,63,575.09,54,497.16,1012,2328,378,73,413,201,
Upper Cowlitz and Cispus,Upper Cowlitz and Cispus,2016,1866,21893.03,117,1148.68,10654,3048,925,64,5551,416,
Upper Cowlitz and Cispus,Upper Cowlitz and Cispus,2017,1105,11307.24521,248,2483.662298,7495,1944,5279,60,3715,2646,
Upper Cowlitz and Cispus,Upper Cowlitz and Cispus,2018,195,2057.664431,365,4056.274426,6080,9931,168,94,2963,87,
Upper Cowlitz and Cispus,Upper Cowlitz and Cispus,2019,804,8832.14297,270,2892.556132,6948,803,3605,86,3549,1641,
Upper Cowlitz and Cispus,Upper Cowlitz and Cispus,2020,946,13896.77782,435,6166.039243,13345,11313,8980,572,7056,4435,
Upper Cowlitz and Cispus,Upper Cowlitz and Cispus,2021,1276,19583.29,288,4054.27,21089,4241,9726,456,10128,4150,
Upper Cowlitz and Cispus,Upper Cowlitz and Cispus,2022,1784,26768.55,61,765.24,13656,2317,11661,153,7718,5645,
Upper Cowlitz and Cispus,Upper Cowlitz and Cispus,2023,,,,,7729,9227,6342,201,3760,2806,
Upper Cowlitz and Cispus,Upper Cowlitz and Cispus,2024,,,,,19055,1071,12262,362,9075,5455,
NF Lewis,Upper NF Lewis,2010,0,0,0,0,0,0,0,0,0,0,
NF Lewis,Upper NF Lewis,2011,0,0,0,0,0,0,0,0,0,0,
NF Lewis,Upper NF Lewis,2012,0,0,0,0,130,39,35,2,67,12,
NF Lewis,Upper NF Lewis,2013,0,0,0,0,6935,73,27,0,3098,6,
NF Lewis,Upper NF Lewis,2014,0,0,0,0,8308,157,697,17,3863,354,
NF Lewis,Upper NF Lewis,2015,0,0,0,0,3616,4,108,26,1647,47,
NF Lewis,Upper NF Lewis,2016,0,0,0,0,5680,146,1127,393,2776,601,
NF Lewis,Upper NF Lewis,2017,0,0,0,0,4542,18,2210,43,2271,1227,
NF Lewis,Upper NF Lewis,2018,0,0,0,0,6220,6,441,395,2454,205,
NF Lewis,Upper NF Lewis,2019,0,0,0,0,4001,13,1318,255,1733,640,
NF Lewis,Upper NF Lewis,2020,0,0,0,0,4614,13,4696,241,2368,2581,
NF Lewis,Upper NF Lewis,2021,0,0,0,0,6258,0,2719,353,3697,1263,
NF Lewis,Upper NF Lewis,2022,0,0,0,0,5809,7,3344,385,3216,1635,
NF Lewis,Upper NF Lewis,2023,0,0,0,0,4721,0,3704,104,2417,1676,
NF Lewis,Upper NF Lewis,2024,0,0,0,0,6764,0,2680,256,3549,1170,2/19/2025 Levi's email said that they ceased upstream transport in early December at the direction of the US Fish and Wildlife Service.
