Yr,Bonneville.total,Willamette.total,Clackamas.w,Cowlitz.barrier.total,Washougal.hatchery.late.h,LCR.total,LCR.wild
2010,120673,20103,1338,76876,2555,53768,24339
2011,146494,3394,1817,37791,1550,43764,22888.5
2012,54963,6573,1316,10538,1307,30599,17975.5
2013,59610,18636,2329,16602,2412,46833,24367.5
2014,279733,18062,8232,93072,11208,115007,66797
2015,37402,2650,1475,5718,816,17156,8601.5
2016,42025,2559,1338,24426,2469,46576,21123.5
2017,75936,3041,7078,20279,3304,34094,19863.5
2018,40889,2557,2882,10995,2400,35905.5,16535.5
2019,73963,7454,3765,15589,2202,43593.66058,22559.91226
2020,121602,"11,800","7,469","39,043","5,047",,
