"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Grays_Chinook",2010,2093,655,1122,1988,3667
"Elochoman_Skamokawa",2010,1940,534,1143,1856,3220
"Abernathy",2010,70,15,45,69,102
"Abernathy_Above AFTC",2010,44,24,14,39,104
"Mill",2010,54,38,13,45,154
"Germany",2010,39,25,11,33,102
"Upper Cowlitz and Cispus",2010,19331,276,18761,19339,19849
"Tilton",2010,2085,142,1787,2088,2346
"Lower Cowlitz",2010,375,318,43,288,1215
"Delameter_Above Weir",2010,32,52,0,12,179
"Lacamas_Above Weir",2010,680,1022,8,326,3326
"Olequa_Above Weir",2010,277,259,30,201,977
"Ostrander_Above Weir",2010,82,86,4,56,307
"Green",2010,1672,386,1069,1621,2552
"Upper NF Toutle",2010,0,0,0,0,2
"NF_MS Toutle",2010,537,510,29,395,1808
"SF Toutle",2010,487,214,199,445,1019
"Coweeman",2010,433,180,166,408,865
"Kalama",2010,560,234,249,514,1133
"Lower Lewis",2010,137,145,11,94,530
"Upper NF Lewis",2010,0,0,0,0,0
"Cedar",2010,684,73,551,682,835
"EF Lewis",2010,659,368,179,583,1581
"Salmon Creek",2010,519,730,8,244,2473
"Washougal",2010,457,184,193,428,897
"Lower Gorge",2010,219,101,85,200,463
"Duncan_Above Weir",2010,2,2,0,1,7
"Grays_Chinook",2011,1708,429,1073,1642,2731
"Elochoman_Skamokawa",2011,887,261,475,855,1500
"Abernathy",2011,61,13,38,60,90
"Abernathy_Above AFTC",2011,46,25,16,41,106
"Mill",2011,47,36,11,39,134
"Germany",2011,39,26,11,33,104
"Upper Cowlitz and Cispus",2011,11800,253,11274,11811,12267
"Tilton",2011,4356,233,3867,4369,4787
"Lower Cowlitz",2011,291,280,23,206,1041
"Delameter_Above Weir",2011,11,19,0,5,64
"Lacamas_Above Weir",2011,577,1310,6,221,3136
"Olequa_Above Weir",2011,91,120,4,51,407
"Ostrander_Above Weir",2011,32,57,1,17,151
"Green",2011,152,110,24,123,446
"Upper NF Toutle",2011,0,0,0,0,0
"NF_MS Toutle",2011,374,327,37,289,1207
"SF Toutle",2011,262,203,40,208,806
"Coweeman",2011,192,101,55,171,440
"Kalama",2011,354,162,150,324,737
"Lower Lewis",2011,159,122,41,128,452
"Upper NF Lewis",2011,0,0,0,0,0
"Cedar",2011,311,24,267,310,361
"EF Lewis",2011,149,120,21,116,474
"Salmon Creek",2011,185,237,5,105,830
"Washougal",2011,78,56,13,63,223
"Lower Gorge",2011,80,63,12,63,243
"Duncan_Above Weir",2011,2,2,0,2,6
"Grays_Chinook",2012,637,269,222,599,1260
"Elochoman_Skamokawa",2012,309,160,77,281,697
"Abernathy",2012,7,3,2,6,15
"Abernathy_Above AFTC",2012,5,3,1,4,12
"Mill",2012,4,3,1,3,11
"Germany",2012,4,3,1,3,10
"Upper Cowlitz and Cispus",2012,2234,67,2096,2237,2358
"Tilton",2012,3643,189,3250,3651,3986
"Lower Cowlitz",2012,462,405,44,351,1495
"Delameter_Above Weir",2012,7,12,0,3,39
"Lacamas_Above Weir",2012,451,1233,9,182,2390
"Olequa_Above Weir",2012,33,51,1,17,164
"Ostrander_Above Weir",2012,13,20,0,6,66
"Green",2012,146,82,35,129,346
"Upper NF Toutle",2012,0,0,0,0,0
"NF_MS Toutle",2012,285,226,46,230,876
"SF Toutle",2012,288,190,62,243,770
"Coweeman",2012,143,110,22,113,435
"Kalama",2012,263,102,121,245,508
"Lower Lewis",2012,60,52,8,46,189
"Upper NF Lewis",2012,135,12,113,135,159
"Cedar",2012,90,51,21,81,218
"EF Lewis",2012,219,152,44,180,612
"Salmon Creek",2012,123,133,6,81,483
"Washougal",2012,73,48,14,62,195
"Lower Gorge",2012,89,57,18,76,233
"Duncan_Above Weir",2012,11,7,2,10,28
"Grays_Chinook",2013,1347,327,858,1294,2124
"Elochoman_Skamokawa",2013,587,192,278,566,1020
"Abernathy",2013,34,13,13,32,66
"Abernathy_Above AFTC",2013,19,8,7,18,37
"Mill",2013,12,5,4,11,25
"Germany",2013,14,6,5,13,28
"Upper Cowlitz and Cispus",2013,5844,269,5281,5858,6331
"Tilton",2013,3779,240,3273,3792,4212
"Lower Cowlitz",2013,984,384,447,918,1912
"Delameter_Above Weir",2013,5,5,0,3,19
"Lacamas_Above Weir",2013,352,376,59,259,1201
"Olequa_Above Weir",2013,17,15,2,13,56
"Ostrander_Above Weir",2013,5,5,0,4,19
"Green",2013,211,110,58,191,481
"Upper NF Toutle",2013,0,0,0,0,1
"NF_MS Toutle",2013,514,368,135,426,1407
"SF Toutle",2013,612,343,185,537,1481
"Coweeman",2013,554,257,182,510,1177
"Kalama",2013,354,132,164,333,671
"Lower Lewis",2013,255,154,74,220,627
"Upper NF Lewis",2013,6928,84,6765,6928,7096
"Cedar",2013,368,73,237,364,521
"EF Lewis",2013,285,151,92,253,662
"Salmon Creek",2013,73,89,3,44,311
"Washougal",2013,268,114,103,249,541
"Lower Gorge",2013,183,95,54,165,418
"Duncan_Above Weir",2013,5,4,0,4,14
"Grays_Chinook",2014,1801,494,992,1746,2908
"Elochoman_Skamokawa",2014,1689,432,1033,1628,2709
"Abernathy",2014,136,21,97,134,181
"Abernathy_Above AFTC",2014,70,11,51,69,94
"Mill",2014,143,22,104,142,191
"Germany",2014,76,13,53,75,103
"Upper Cowlitz and Cispus",2014,22597,303,21981,22605,23166
"Tilton",2014,4915,148,4610,4920,5190
"Lower Cowlitz",2014,598,461,83,479,1822
"Delameter_Above Weir",2014,20,9,7,18,40
"Lacamas_Above Weir",2014,452,132,235,438,743
"Olequa_Above Weir",2014,247,78,120,238,424
"Ostrander_Above Weir",2014,37,12,18,35,64
"Green",2014,1138,298,660,1099,1817
"Upper NF Toutle",2014,0,0,0,0,0
"NF_MS Toutle",2014,1622,984,596,1380,4044
"SF Toutle",2014,2655,1150,1250,2398,5548
"Coweeman",2014,1441,418,756,1396,2378
"Kalama",2014,936,329,457,882,1718
"Lower Lewis",2014,679,368,222,604,1589
"Upper NF Lewis",2014,8313,90,8133,8314,8490
"Cedar",2014,211,113,56,189,485
"EF Lewis",2014,997,493,320,903,2204
"Salmon Creek",2014,125,151,6,76,533
"Washougal",2014,1474,429,790,1425,2450
"Lower Gorge",2014,590,271,203,544,1241
"Duncan_Above Weir",2014,11,6,2,10,27
"Grays_Chinook",2015,469,151,209,457,794
"Elochoman_Skamokawa",2015,277,111,104,263,534
"Abernathy",2015,20,8,7,19,40
"Abernathy_Above AFTC",2015,13,5,6,13,25
"Mill",2015,17,7,6,16,35
"Germany",2015,12,5,4,11,25
"Upper Cowlitz and Cispus",2015,943,40,863,944,1018
"Tilton",2015,1557,94,1355,1562,1726
"Lower Cowlitz",2015,149,151,10,101,552
"Delameter_Above Weir",2015,11,6,2,9,26
"Lacamas_Above Weir",2015,29,29,3,21,107
"Olequa_Above Weir",2015,51,39,7,40,153
"Ostrander_Above Weir",2015,10,7,2,9,27
"Green",2015,378,151,133,361,720
"Upper NF Toutle",2015,0,0,0,0,0
"NF_MS Toutle",2015,541,344,185,458,1369
"SF Toutle",2015,1280,542,580,1170,2640
"Coweeman",2015,340,155,109,317,706
"Kalama",2015,163,59,76,154,309
"Lower Lewis",2015,99,78,13,79,294
"Upper NF Lewis",2015,3614,60,3497,3615,3730
"Cedar",2015,90,51,21,80,213
"EF Lewis",2015,189,129,34,157,525
"Salmon Creek",2015,48,71,1,24,234
"Washougal",2015,277,95,125,266,496
"Lower Gorge",2015,58,40,10,48,156
"Duncan_Above Weir",2015,2,2,0,2,7
"Grays_Chinook",2016,981,275,506,960,1595
"Elochoman_Skamokawa",2016,558,243,189,523,1120
"Abernathy",2016,80,16,52,79,114
"Abernathy_Above AFTC",2016,46,9,30,45,64
"Mill",2016,54,11,34,53,79
"Germany",2016,37,8,23,36,55
"Upper Cowlitz and Cispus",2016,8841,256,8301,8854,9305
"Tilton",2016,4316,234,3831,4326,4734
"Lower Cowlitz",2016,383,349,30,280,1295
"Delameter_Above Weir",2016,46,15,22,44,78
"Lacamas_Above Weir",2016,12,12,1,8,45
"Olequa_Above Weir",2016,65,72,5,43,259
"Ostrander_Above Weir",2016,12,8,2,10,31
"Green",2016,1948,467,1217,1887,3046
"Upper NF Toutle",2016,0,0,0,0,1
"NF_MS Toutle",2016,674,455,158,576,1786
"SF Toutle",2016,847,408,320,767,1851
"Coweeman",2016,602,295,172,554,1302
"Kalama",2016,251,124,64,235,535
"Lower Lewis",2016,246,156,65,210,636
"Upper NF Lewis",2016,5682,75,5535,5681,5830
"Cedar",2016,398,197,116,364,871
"EF Lewis",2016,923,495,213,841,2103
"Salmon Creek",2016,175,213,7,101,760
"Washougal",2016,764,225,420,734,1302
"Lower Gorge",2016,74,52,13,61,206
"Duncan_Above Weir",2016,3,3,0,2,10
"Grays_Chinook",2017,928,233,512,911,1435
"Elochoman_Skamokawa",2017,325,203,58,283,833
"Abernathy",2017,30,8,16,29,49
"Abernathy_Above AFTC",2017,17,5,9,17,28
"Mill",2017,20,6,10,19,33
"Germany",2017,29,8,15,28,48
"Upper Cowlitz and Cispus",2017,6432,175,6070,6438,6762
"Tilton",2017,5234,154,4915,5242,5513
"Lower Cowlitz",2017,626,444,77,535,1696
"Delameter_Above Weir",2017,17,9,4,15,38
"Lacamas_Above Weir",2017,4,5,0,2,18
"Olequa_Above Weir",2017,25,24,2,17,90
"Ostrander_Above Weir",2017,20,11,6,19,46
"Green",2017,181,100,45,161,429
"Upper NF Toutle",2017,0,0,0,0,0
"NF_MS Toutle",2017,318,258,26,256,963
"SF Toutle",2017,202,194,17,143,730
"Coweeman",2017,327,255,40,262,987
"Kalama",2017,189,104,34,174,430
"Lower Lewis",2017,168,105,44,144,431
"Upper NF Lewis",2017,4543,67,4414,4543,4675
"Cedar",2017,520,300,109,458,1262
"EF Lewis",2017,867,399,316,792,1830
"Salmon Creek",2017,250,229,23,185,860
"Washougal",2017,661,192,381,629,1134
"Lower Gorge",2017,130,98,18,104,378
"Duncan_Above Weir",2017,5,4,1,4,15
"Grays_Chinook",2018,999,256,548,981,1556
"Elochoman_Skamokawa",2018,672,307,207,629,1400
