"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Coweeman",2010,4751,1055,2990,4641,7063
"EF Lewis",2010,2530,954,1141,2373,4811
"Elochoman, Skamokawa",2010,2682,686,1661,2576,4297
"Grays, Chinook",2010,2535,772,1389,2415,4360
"Kalama",2010,572,239,255,525,1158
"Lower Cowlitz",2010,9071,3059,4909,8543,16238
"Lower Gorge",2010,863,298,450,812,1580
"Mill, Abernathy, Germany, Coal",2010,1337,371,849,1264,2241
"NF Lewis",2010,3393,717,2528,3236,5199
"NF Toutle",2010,4014,962,2561,3871,6244
"Salmon Creek",2010,3405,1703,1292,3022,7643
"SF Toutle",2010,2374,933,1098,2200,4674
"Tilton",2010,2982,149,2673,2987,3259
"Upper Cowlitz and Cispus",2010,22105,285,21520,22112,22639
"Washougal",2010,1144,365,614,1088,2020
"Coweeman",2011,4029,845,2725,3916,6038
"EF Lewis",2011,2171,788,1016,2049,4096
"Elochoman, Skamokawa",2011,1573,373,990,1522,2459
"Grays, Chinook",2011,1797,449,1137,1728,2869
"Kalama",2011,378,169,166,347,776
"Lower Cowlitz",2011,7050,3887,3317,6192,15740
"Lower Gorge",2011,666,204,373,633,1162
"Mill, Abernathy, Germany, Coal",2011,772,228,485,727,1327
"NF Lewis",2011,2080,511,1527,1960,3325
"NF Toutle",2011,1618,663,753,1497,3197
"Salmon Creek",2011,2133,949,897,1946,4498
"SF Toutle",2011,1672,739,613,1549,3428
"Tilton",2011,6320,244,5811,6333,6772
"Upper Cowlitz and Cispus",2011,19414,278,18837,19423,19931
"Washougal",2011,740,231,388,706,1284
"Coweeman",2012,3301,705,2203,3211,4944
"EF Lewis",2012,3111,1197,1569,2863,6079
"Elochoman, Skamokawa",2012,892,257,459,869,1439
"Grays, Chinook",2012,1402,370,819,1356,2247
"Kalama",2012,300,114,143,279,573
"Lower Cowlitz",2012,6497,4763,2695,5522,16010
"Lower Gorge",2012,601,182,332,572,1025
"Mill, Abernathy, Germany, Coal",2012,602,131,409,581,910
"NF Lewis",2012,1903,346,1447,1845,2721
"NF Toutle",2012,1961,602,1205,1839,3460
"Salmon Creek",2012,1641,660,730,1522,3233
"SF Toutle",2012,2377,887,1184,2204,4586
"Tilton",2012,4912,196,4503,4923,5269
"Upper Cowlitz and Cispus",2012,3838,79,3678,3839,3988
"Washougal",2012,590,174,321,567,1001
"Coweeman",2013,4422,897,3038,4300,6545
"EF Lewis",2013,3127,1088,1670,2907,5801
"Elochoman, Skamokawa",2013,1422,321,879,1398,2133
"Grays, Chinook",2013,2140,475,1442,2062,3282
"Kalama",2013,410,146,202,387,754
"Lower Cowlitz",2013,8782,4542,4668,7833,18643
"Lower Gorge",2013,864,247,529,816,1461
"Mill, Abernathy, Germany, Coal",2013,806,85,654,802,986
"NF Lewis",2013,8940,408,8397,8874,9884
"NF Toutle",2013,3828,1099,2507,3629,6361
"Salmon Creek",2013,2140,797,990,2011,4001
"SF Toutle",2013,4236,1694,2087,3888,8366
"Tilton",2013,6432,256,5890,6446,6893
"Upper Cowlitz and Cispus",2013,5854,269,5293,5868,6340
"Washougal",2013,824,225,472,796,1340
"Coweeman",2014,8605,1810,5362,8498,12464
"EF Lewis",2014,5256,1780,2619,5013,9371
"Elochoman, Skamokawa",2014,4881,1083,3263,4717,7469
"Grays, Chinook",2014,4988,815,3767,4866,6928
"Kalama",2014,1033,363,505,973,1895
"Lower Cowlitz",2014,26605,2330,22629,26432,31688
"Lower Gorge",2014,1985,624,968,1912,3390
"Mill, Abernathy, Germany, Coal",2014,2937,202,2555,2932,3348
"NF Lewis",2014,14174,995,12745,14019,16521
"NF Toutle",2014,8444,2760,5139,7867,15041
"Salmon Creek",2014,5476,2067,2478,5155,10197
"SF Toutle",2014,13811,5696,6784,12557,28076
"Tilton",2014,13836,192,13443,13841,14202
"Upper Cowlitz and Cispus",2014,29446,320,28799,29454,30049
"Washougal",2014,2076,578,1139,2017,3380
"Coweeman",2015,1527,338,933,1503,2268
"EF Lewis",2015,748,297,303,703,1437
"Elochoman, Skamokawa",2015,601,171,315,588,965
"Grays, Chinook",2015,732,163,457,718,1090
"Kalama",2015,183,65,87,173,343
"Lower Cowlitz",2015,2809,522,1998,2740,4012
"Lower Gorge",2015,422,126,240,402,723
"Mill, Abernathy, Germany, Coal",2015,721,75,587,718,879
"NF Lewis",2015,4816,212,4481,4793,5287
"NF Toutle",2015,1667,530,1029,1565,2944
"Salmon Creek",2015,1074,385,503,1018,2000
"SF Toutle",2015,2636,1010,1336,2427,5177
"Tilton",2015,2918,106,2696,2923,3111
"Upper Cowlitz and Cispus",2015,1319,45,1229,1320,1406
"Washougal",2015,404,117,213,391,669
"Coweeman",2016,3902,745,2653,3834,5562
"EF Lewis",2016,1830,667,816,1741,3355
"Elochoman, Skamokawa",2016,1383,368,767,1352,2177
"Grays, Chinook",2016,1636,302,1150,1601,2322
"Kalama",2016,372,143,158,353,700
"Lower Cowlitz",2016,5348,1034,3774,5202,7757
"Lower Gorge",2016,960,301,531,909,1715
"Mill, Abernathy, Germany, Coal",2016,1317,105,1119,1313,1533
"NF Lewis",2016,9754,574,8846,9684,11073
"NF Toutle",2016,4333,922,2989,4197,6429
"Salmon Creek",2016,2571,924,1295,2407,4846
"SF Toutle",2016,3828,1395,1959,3557,7206
"Tilton",2016,6945,247,6433,6955,7391
"Upper Cowlitz and Cispus",2016,9752,259,9209,9766,10226
"Washougal",2016,1026,279,600,990,1687
"Coweeman",2017,3101,630,2050,3030,4544
"EF Lewis",2017,2355,783,1282,2209,4263
"Elochoman, Skamokawa",2017,1413,327,901,1371,2169
"Grays, Chinook",2017,1213,229,843,1186,1741
"Kalama",2017,285,116,111,270,554
"Lower Cowlitz",2017,3472,790,2360,3332,5388
"Lower Gorge",2017,701,225,348,673,1216
"Mill, Abernathy, Germany, Coal",2017,947,87,788,944,1131
"NF Lewis",2017,9521,554,8670,9446,10779
"NF Toutle",2017,1483,438,816,1421,2482
"Salmon Creek",2017,2171,799,1150,2011,4174
"SF Toutle",2017,1493,659,539,1391,2999
"Tilton",2017,10432,179,10063,10439,10761
"Upper Cowlitz and Cispus",2017,11632,199,11222,11638,12004
"Washougal",2017,882,243,529,840,1464
"Coweeman",2018,3643,782,2435,3526,5502
"EF Lewis",2018,2268,737,1240,2143,4029
"Elochoman, Skamokawa",2018,1844,432,1191,1778,2886
"Grays, Chinook",2018,1286,253,878,1257,1877
"Kalama",2018,325,119,152,307,599
"Lower Cowlitz",2018,3407,668,2378,3320,4995
"Lower Gorge",2018,810,242,451,773,1391
"Mill, Abernathy, Germany, Coal",2018,1154,107,958,1149,1381
"NF Lewis",2018,10018,817,8841,9882,11968
"NF Toutle",2018,1478,411,852,1415,2428
"Salmon Creek",2018,2355,883,1245,2178,4481
"SF Toutle",2018,1448,626,547,1344,2940
"Tilton",2018,4477,122,4215,4484,4695
"Upper Cowlitz and Cispus",2018,6000,103,5793,6002,6191
"Washougal",2018,944,259,557,902,1570
"Coweeman",2019,4940,1035,3182,4855,7179
"EF Lewis",2019,3167,1006,1676,3016,5567
"Elochoman, Skamokawa",2019,2796,604,1852,2704,4229
"Grays, Chinook",2019,2019,435,1324,1970,3030
"Kalama",2019,572,231,216,538,1114
"Lower Cowlitz",2019,3957,893,2676,3807,6127
"Lower Gorge",2019,1513,442,934,1428,2595
"Mill, Abernathy, Germany, Coal",2019,2065,161,1770,2058,2401
"NF Lewis",2019,9688,1064,8030,9528,12184
"NF Toutle",2019,2915,638,1960,2824,4378
"Salmon Creek",2019,3271,1131,1660,3076,6096
"SF Toutle",2019,3001,1105,1495,2796,5682
"Tilton",2019,7234,183,6849,7245,7567
"Upper Cowlitz and Cispus",2019,9726,166,9383,9733,10035
"Washougal",2019,1523,429,872,1459,2535
"Coweeman",2020,5805,1195,3876,5670,8546
"EF Lewis",2020,3231,1141,1503,3072,5866
"Elochoman, Skamokawa",2020,2795,629,1774,2726,4237
"Grays, Chinook",2020,2296,532,1428,2242,3500
"Kalama",2020,924,388,452,835,1936
"Lower Cowlitz",2020,5407,1061,3754,5275,7819
"Lower Gorge",2020,1432,480,715,1355,2582
"Mill, Abernathy, Germany, Coal",2020,1765,173,1454,1755,2141
"NF Lewis",2020,13787,868,12393,13681,15769
"NF Toutle",2020,2809,709,1761,2693,4477
"Salmon Creek",2020,3358,1227,1605,3163,6241
"SF Toutle",2020,3185,1251,1445,2957,6200
"Tilton",2020,13285,268,12729,13301,13769
"Upper Cowlitz and Cispus",2020,21285,232,20800,21293,21718
"Washougal",2020,1912,561,1124,1814,3261
"Coweeman",2021,6329,1491,3983,6135,9728
"EF Lewis",2021,5742,2023,3033,5358,10854
"Elochoman, Skamokawa",2021,3171,752,2025,3060,4932
"Grays, Chinook",2021,2789,599,1948,2686,4294
"Kalama",2021,992,489,435,877,2243
"Lower Cowlitz",2021,7768,1685,5328,7489,11794
"Lower Gorge",2021,1745,686,901,1595,3485
"Mill, Abernathy, Germany, Coal",2021,1662,167,1364,1654,2015
"NF Lewis",2021,12979,1042,11384,12850,15326
"NF Toutle",2021,3525,1107,2045,3339,5998
"Salmon Creek",2021,3510,1455,1516,3252,7034
"SF Toutle",2021,3902,1625,1824,3576,7955
"Tilton",2021,15652,1241,12759,15833,17550
"Upper Cowlitz and Cispus",2021,28079,1573,24054,28414,30139
"Washougal",2021,1656,580,767,1575,3019
