"Population","Recovery.Goal","med.NOR","min.NOR","max.NOR","med.HOR","min.HOR","max.HOR","med.NOR_Density","min.NOR_Density","max.NOR_Density","med.PHOS","min.pHOS","max.pHOS","n"
"Coweeman",1200,3568.70922987809,1166.53273642618,7069.43541835973,532.109045492625,113.347468474152,1396.37052084606,37.369373449221,12.2152281568036,74.0268694384102,0.147587258250543,0.0353097158640616,0.287281682165032,11
"EF Lewis",2000,2277.53289039805,518.955349193336,4981.34816198812,270.322211992256,116.46988591572,903.016285567571,16.1755268592591,3.68573214684329,35.3786025788095,0.107046244110083,0.0575494628226991,0.504284521624679,6
"Elochoman, Skamokawa",2400,934.986493988454,309.894024083506,3079.71475404484,597.694368744545,262.714869354024,1855.60207545985,5.79179659555591,1.91964607532838,19.0773680073934,0.37512304085284,0.184708911912364,0.726537510616061,1
"Grays, Chinook",2400,600.252451265333,80.7716668175002,3115.35521421224,1139.20001518473,457.017603937547,1987.62588444901,2.29244319805467,0.308477637702253,11.8979520288341,0.641107827246182,0.357713237690864,0.953134950750948,1
"Kalama",500,82.0368441527004,8.26058399690095,270.035610588436,328.321162063608,153.731823376693,882.404298891246,1.59049792066387,0.160152938673321,5.23534372368917,0.837245937882553,0.674721722677874,0.984166771752516,NA
"LCR ESU",23700,29703.0174698092,11865.9266172663,89886.6746554393,24072.7515008887,9534.37215079805,52667.6549784346,9.9350064608994,3.96889163624278,30.0651169315791,0.4361821769059,0.289880641920928,0.527268323043138,9
"Lower Cowlitz",3700,4761.04862792517,2495.38821576374,25072.1198022299,644.151862400351,207.809516558797,1264.87147672717,7.49660648013752,3.92916454560675,39.4778189573104,0.0980020941002142,0.0473292129866602,0.179601459571513,8
"Lower Gorge",1900,623.915965911736,345.820561623475,1519.35292827675,106.593210215721,49.998259688159,555.104202069866,11.7801388993644,6.52942779598152,28.686857702225,0.160092008087896,0.0403039978539925,0.296131736808354,NA
"Mill, Abernathy, Germany, Coal",1800,1041.33269944169,567.306073656149,2577.69407344848,161.668251244615,13.7621510864099,561.057354037714,10.8858638831597,5.93049339679976,26.9466490690557,0.121149119658817,0.0234223031612252,0.272666177617326,1
"NF Lewis",500,3157.88413457725,994.804309757704,7555.3501115252,5630.19960253469,272.561032160694,9134.1850569517,11.3921321523164,3.58877706701259,27.2560813695074,0.591660366757055,0.1469449874567,0.84853076352964,12
"NF Toutle",1900,1657.066554322,706.090272825987,5334.12961367811,549.312007170963,379.950641575377,2542.73380020962,7.22590872701068,3.07902169117053,23.2603413700865,0.307406086618686,0.146802419638032,0.606175590217686,5
"Salmon Creek",NA,2085.32816192331,970.077408933176,5041.32739265715,111.826532717293,23.658373402809,309.400584988199,7.39212771285982,3.4387566566887,17.8706337972674,0.0536676096179364,0.0150537516951698,0.0995673144526063,NA
"SF Toutle",1900,2207.43279819032,1162.42074122662,10138.7709031851,329.646035651066,120.858281112597,2398.49341871799,24.2039625689441,12.745660086721,111.169151621273,0.124268154546252,0.0544655896225974,0.485583463780004,7
"Tilton",NA,2181.75826528155,897.526501728805,8920.44808597121,4347.77441855909,1562.09075022382,10899.3032605638,10.9144066195821,4.48994251453201,44.6251994038389,0.655945098355613,0.355425636644246,0.819365739245717,NA
"Upper Cowlitz and Cispus",2000,3166.88807912761,9.62381677257008,9610.7108320461,7645.97702913035,944.101902930463,22605.3109953459,9.43800773801758,0.0286810442615329,28.6419857394163,0.688276037737861,0.553159385228168,0.998355685300555,7
"Washougal",1500,554.932849505831,115.458480839595,1322.63777754452,528.454536155384,61.7486893739215,1424.60825236428,6.97169719681184,1.45052066738229,16.616479082678,0.572145733052939,0.0909253281749968,0.753145557364581,NA
