"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Grays_Chinook",2010,0.46,0.042,0.378,0.46,0.542
"Elochoman_Skamokawa",2010,0.437,0.044,0.351,0.438,0.521
"Abernathy",2010,0.494,0.027,0.443,0.494,0.547
"Abernathy_Above AFTC",2010,0.484,0.029,0.427,0.484,0.541
"Mill",2010,0.484,0.029,0.427,0.484,0.541
"Germany",2010,0.485,0.028,0.429,0.484,0.54
"Upper Cowlitz and Cispus",2010,0.476,0.052,0.374,0.476,0.578
"Tilton",2010,0.476,0.052,0.373,0.476,0.579
"Lower Cowlitz",2010,0.515,0.05,0.419,0.514,0.613
"Delameter_Above Weir",2010,0.474,0.053,0.371,0.474,0.579
"Lacamas_Above Weir",2010,0.476,0.052,0.374,0.476,0.578
"Olequa_Above Weir",2010,0.472,0.049,0.376,0.473,0.569
"Ostrander_Above Weir",2010,0.48,0.054,0.375,0.48,0.587
"Green",2010,0.501,0.028,0.447,0.501,0.556
"Upper NF Toutle",2010,0.476,0.052,0.374,0.476,0.58
"NF_MS Toutle",2010,0.473,0.053,0.369,0.473,0.577
"SF Toutle",2010,0.443,0.036,0.373,0.444,0.512
"Coweeman",2010,0.458,0.039,0.383,0.458,0.534
"Kalama",2010,0.464,0.051,0.364,0.464,0.565
"Lower Lewis",2010,0.456,0.051,0.355,0.456,0.555
"Upper NF Lewis",2010,0.476,0.054,0.37,0.475,0.581
"Cedar",2010,0.418,0.04,0.338,0.418,0.497
"EF Lewis",2010,0.481,0.048,0.387,0.481,0.577
"Salmon Creek",2010,0.476,0.051,0.374,0.477,0.576
"Washougal",2010,0.444,0.048,0.35,0.444,0.538
"Lower Gorge",2010,0.5,0.044,0.416,0.5,0.586
"Duncan_Above Weir",2010,0.488,0.045,0.4,0.487,0.578
"Grays_Chinook",2011,0.448,0.05,0.348,0.449,0.545
"Elochoman_Skamokawa",2011,0.458,0.049,0.361,0.458,0.552
"Abernathy",2011,0.565,0.032,0.502,0.565,0.628
"Abernathy_Above AFTC",2011,0.556,0.033,0.493,0.556,0.621
"Mill",2011,0.556,0.034,0.49,0.555,0.622
"Germany",2011,0.556,0.033,0.491,0.556,0.622
"Upper Cowlitz and Cispus",2011,0.476,0.052,0.374,0.476,0.58
"Tilton",2011,0.476,0.053,0.37,0.476,0.579
"Lower Cowlitz",2011,0.473,0.052,0.37,0.473,0.577
"Delameter_Above Weir",2011,0.471,0.052,0.368,0.471,0.574
"Lacamas_Above Weir",2011,0.476,0.053,0.374,0.476,0.582
"Olequa_Above Weir",2011,0.471,0.051,0.37,0.471,0.57
"Ostrander_Above Weir",2011,0.475,0.053,0.37,0.476,0.58
"Green",2011,0.445,0.053,0.339,0.445,0.547
"Upper NF Toutle",2011,0.475,0.052,0.372,0.476,0.576
"NF_MS Toutle",2011,0.474,0.053,0.37,0.474,0.577
"SF Toutle",2011,0.451,0.05,0.353,0.452,0.549
"Coweeman",2011,0.507,0.038,0.433,0.507,0.584
"Kalama",2011,0.475,0.052,0.375,0.475,0.577
"Lower Lewis",2011,0.556,0.048,0.464,0.555,0.654
"Upper NF Lewis",2011,0.476,0.054,0.371,0.476,0.582
"Cedar",2011,0.432,0.045,0.343,0.432,0.518
"EF Lewis",2011,0.501,0.049,0.406,0.5,0.599
"Salmon Creek",2011,0.485,0.051,0.385,0.485,0.586
"Washougal",2011,0.479,0.049,0.386,0.479,0.576
"Lower Gorge",2011,0.506,0.05,0.409,0.505,0.608
"Duncan_Above Weir",2011,0.508,0.043,0.423,0.507,0.594
"Grays_Chinook",2012,0.486,0.047,0.392,0.486,0.578
"Elochoman_Skamokawa",2012,0.464,0.051,0.364,0.464,0.562
"Abernathy",2012,0.463,0.03,0.405,0.463,0.523
"Abernathy_Above AFTC",2012,0.464,0.031,0.404,0.464,0.525
"Mill",2012,0.464,0.032,0.403,0.464,0.526
"Germany",2012,0.464,0.031,0.403,0.464,0.524
"Upper Cowlitz and Cispus",2012,0.476,0.052,0.374,0.476,0.578
"Tilton",2012,0.476,0.053,0.372,0.476,0.58
"Lower Cowlitz",2012,0.476,0.053,0.373,0.476,0.578
