"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Grays_Chinook",2010,0.792,0.052,0.681,0.796,0.885
"Elochoman_Skamokawa",2010,0.712,0.064,0.579,0.717,0.826
"Abernathy",2010,0.125,0.022,0.084,0.124,0.172
"Abernathy_Above AFTC",2010,0.122,0.022,0.081,0.121,0.169
"Mill",2010,0.122,0.022,0.081,0.121,0.169
"Germany",2010,0.122,0.022,0.083,0.121,0.169
"Upper Cowlitz and Cispus",2010,0.875,0.003,0.869,0.875,0.879
"Tilton",2010,0.695,0.016,0.661,0.696,0.723
"Lower Cowlitz",2010,0.114,0.076,0.016,0.097,0.303
"Delameter_Above Weir",2010,0.093,0.133,0.001,0.04,0.502
"Lacamas_Above Weir",2010,0.255,0.251,0.005,0.159,0.874
"Olequa_Above Weir",2010,0.111,0.072,0.018,0.096,0.29
"Ostrander_Above Weir",2010,0.27,0.198,0.018,0.226,0.743
"Green",2010,0.67,0.03,0.609,0.671,0.726
"Upper NF Toutle",2010,0.002,0.002,0,0.001,0.008
"NF_MS Toutle",2010,0.318,0.225,0.025,0.27,0.822
"SF Toutle",2010,0.205,0.04,0.133,0.203,0.289
"Coweeman",2010,0.091,0.031,0.04,0.088,0.16
"Kalama",2010,0.952,0.025,0.892,0.956,0.988
"Lower Lewis",2010,0.116,0.087,0.014,0.093,0.338
"Upper NF Lewis",2010,0.669,0.257,0.106,0.735,0.984
"Cedar",2010,0.324,0.026,0.274,0.323,0.377
"EF Lewis",2010,0.246,0.092,0.093,0.237,0.448
"Salmon Creek",2010,0.148,0.172,0.003,0.08,0.655
"Washougal",2010,0.407,0.091,0.236,0.405,0.589
"Lower Gorge",2010,0.266,0.068,0.144,0.262,0.409
"Duncan_Above Weir",2010,0.028,0.026,0.002,0.02,0.097
"Grays_Chinook",2011,0.928,0.023,0.876,0.93,0.966
"Elochoman_Skamokawa",2011,0.59,0.087,0.411,0.592,0.751
"Abernathy",2011,0.184,0.035,0.121,0.183,0.257
"Abernathy_Above AFTC",2011,0.19,0.037,0.124,0.188,0.266
"Mill",2011,0.19,0.036,0.125,0.188,0.265
"Germany",2011,0.19,0.036,0.124,0.188,0.265
"Upper Cowlitz and Cispus",2011,0.608,0.005,0.597,0.608,0.618
"Tilton",2011,0.691,0.011,0.667,0.692,0.711
"Lower Cowlitz",2011,0.134,0.104,0.014,0.106,0.404
"Delameter_Above Weir",2011,0.051,0.07,0.001,0.025,0.258
"Lacamas_Above Weir",2011,0.205,0.215,0.005,0.122,0.79
"Olequa_Above Weir",2011,0.052,0.054,0.003,0.034,0.205
"Ostrander_Above Weir",2011,0.164,0.166,0.007,0.105,0.628
"Green",2011,0.167,0.09,0.039,0.151,0.378
"Upper NF Toutle",2011,0.001,0.002,0,0,0.005
"NF_MS Toutle",2011,0.32,0.179,0.053,0.295,0.711
"SF Toutle",2011,0.141,0.08,0.031,0.125,0.334
"Coweeman",2011,0.051,0.024,0.016,0.047,0.107
"Kalama",2011,0.878,0.092,0.627,0.903,0.982
"Lower Lewis",2011,0.196,0.07,0.081,0.188,0.351
"Upper NF Lewis",2011,0.717,0.206,0.225,0.768,0.973
"Cedar",2011,0.251,0.014,0.225,0.251,0.278
"EF Lewis",2011,0.069,0.045,0.013,0.059,0.182
"Salmon Creek",2011,0.087,0.093,0.003,0.055,0.344
"Washougal",2011,0.117,0.071,0.023,0.102,0.292
"Lower Gorge",2011,0.143,0.091,0.026,0.123,0.365
"Duncan_Above Weir",2011,0.034,0.026,0.005,0.027,0.104
"Grays_Chinook",2012,0.417,0.128,0.183,0.414,0.673
"Elochoman_Skamokawa",2012,0.26,0.11,0.083,0.249,0.508
"Abernathy",2012,0.024,0.011,0.009,0.023,0.05
"Abernathy_Above AFTC",2012,0.025,0.011,0.009,0.023,0.05
"Mill",2012,0.025,0.011,0.009,0.023,0.05
"Germany",2012,0.025,0.011,0.009,0.023,0.05
"Upper Cowlitz and Cispus",2012,0.582,0.009,0.563,0.582,0.6
"Tilton",2012,0.741,0.011,0.718,0.742,0.76
"Lower Cowlitz",2012,0.267,0.179,0.034,0.226,0.7
"Delameter_Above Weir",2012,0.037,0.056,0.001,0.018,0.197
"Lacamas_Above Weir",2012,0.145,0.149,0.007,0.092,0.575
"Olequa_Above Weir",2012,0.025,0.029,0.002,0.016,0.106
"Ostrander_Above Weir",2012,0.086,0.104,0.004,0.048,0.393
"Green",2012,0.163,0.081,0.043,0.151,0.352
"Upper NF Toutle",2012,0.001,0.001,0,0,0.003
"NF_MS Toutle",2012,0.28,0.139,0.067,0.263,0.591
"SF Toutle",2012,0.124,0.062,0.034,0.113,0.272
"Coweeman",2012,0.045,0.031,0.008,0.038,0.126
"Kalama",2012,0.834,0.079,0.645,0.846,0.949
"Lower Lewis",2012,0.108,0.062,0.024,0.095,0.263
"Upper NF Lewis",2012,0.797,0.031,0.734,0.798,0.853
"Cedar",2012,0.088,0.047,0.022,0.078,0.2
"EF Lewis",2012,0.077,0.041,0.02,0.07,0.177
"Salmon Creek",2012,0.072,0.066,0.005,0.052,0.251
"Washougal",2012,0.131,0.071,0.031,0.119,0.298
"Lower Gorge",2012,0.165,0.082,0.043,0.151,0.359
"Duncan_Above Weir",2012,0.171,0.092,0.037,0.157,0.392
"Grays_Chinook",2013,0.644,0.056,0.53,0.645,0.749
"Elochoman_Skamokawa",2013,0.384,0.089,0.218,0.381,0.563
"Abernathy",2013,0.076,0.027,0.032,0.073,0.137
"Abernathy_Above AFTC",2013,0.077,0.028,0.032,0.073,0.141
"Mill",2013,0.07,0.025,0.029,0.067,0.127
"Germany",2013,0.074,0.027,0.031,0.07,0.134
"Upper Cowlitz and Cispus",2013,0.998,0.001,0.997,0.998,0.999
"Tilton",2013,0.587,0.016,0.553,0.588,0.614
"Lower Cowlitz",2013,0.428,0.064,0.305,0.427,0.555
"Delameter_Above Weir",2013,0.02,0.019,0.002,0.014,0.071
"Lacamas_Above Weir",2013,0.075,0.03,0.028,0.071,0.143
"Olequa_Above Weir",2013,0.013,0.01,0.002,0.01,0.039
"Ostrander_Above Weir",2013,0.03,0.025,0.004,0.023,0.094
"Green",2013,0.144,0.066,0.044,0.135,0.301
"Upper NF Toutle",2013,0,0.001,0,0,0.002
"NF_MS Toutle",2013,0.325,0.107,0.136,0.318,0.55
"SF Toutle",2013,0.148,0.054,0.061,0.142,0.269
"Coweeman",2013,0.134,0.052,0.051,0.127,0.251
"Kalama",2013,0.845,0.079,0.655,0.859,0.956
"Lower Lewis",2013,0.352,0.093,0.183,0.348,0.545
"Upper NF Lewis",2013,0.995,0.001,0.994,0.995,0.997
"Cedar",2013,0.265,0.048,0.176,0.263,0.366
"EF Lewis",2013,0.093,0.035,0.038,0.088,0.172
"Salmon Creek",2013,0.034,0.036,0.002,0.022,0.132
"Washougal",2013,0.342,0.101,0.163,0.337,0.55
"Lower Gorge",2013,0.238,0.095,0.082,0.227,0.448
"Duncan_Above Weir",2013,0.148,0.109,0.02,0.121,0.428
"Grays_Chinook",2014,0.404,0.083,0.249,0.403,0.569
"Elochoman_Skamokawa",2014,0.362,0.045,0.276,0.361,0.452
"Abernathy",2014,0.119,0.015,0.092,0.119,0.151
"Abernathy_Above AFTC",2014,0.12,0.015,0.092,0.119,0.151
"Mill",2014,0.122,0.015,0.094,0.122,0.153
"Germany",2014,0.12,0.015,0.092,0.12,0.152
"Upper Cowlitz and Cispus",2014,0.767,0.003,0.761,0.768,0.773
"Tilton",2014,0.355,0.007,0.34,0.355,0.368
"Lower Cowlitz",2014,0.108,0.068,0.02,0.093,0.277
"Delameter_Above Weir",2014,0.027,0.011,0.009,0.025,0.053
"Lacamas_Above Weir",2014,0.041,0.011,0.022,0.04,0.065
"Olequa_Above Weir",2014,0.03,0.009,0.016,0.029,0.049
"Ostrander_Above Weir",2014,0.038,0.012,0.018,0.036,0.064
"Green",2014,0.299,0.04,0.223,0.297,0.381
"Upper NF Toutle",2014,0,0.001,0,0,0.002
"NF_MS Toutle",2014,0.362,0.057,0.254,0.361,0.478
"SF Toutle",2014,0.194,0.023,0.151,0.193,0.24
"Coweeman",2014,0.162,0.032,0.104,0.161,0.229
"Kalama",2014,0.898,0.027,0.838,0.9,0.944
"Lower Lewis",2014,0.395,0.049,0.3,0.394,0.49
"Upper NF Lewis",2014,0.923,0.003,0.918,0.923,0.928
"Cedar",2014,0.06,0.03,0.017,0.055,0.133
"EF Lewis",2014,0.18,0.062,0.077,0.174,0.319
"Salmon Creek",2014,0.023,0.022,0.001,0.015,0.084
"Washougal",2014,0.684,0.054,0.573,0.686,0.785
"Lower Gorge",2014,0.277,0.083,0.13,0.271,0.452
"Duncan_Above Weir",2014,0.195,0.109,0.038,0.176,0.455
"Grays_Chinook",2015,0.487,0.126,0.244,0.489,0.728
"Elochoman_Skamokawa",2015,0.352,0.105,0.163,0.347,0.569
"Abernathy",2015,0.074,0.029,0.029,0.07,0.139
"Abernathy_Above AFTC",2015,0.103,0.032,0.049,0.1,0.175
"Mill",2015,0.071,0.027,0.029,0.068,0.134
"Germany",2015,0.073,0.028,0.029,0.07,0.138
"Upper Cowlitz and Cispus",2015,0.715,0.014,0.687,0.715,0.74
"Tilton",2015,0.533,0.016,0.5,0.534,0.561
"Lower Cowlitz",2015,0.146,0.125,0.012,0.108,0.476
"Delameter_Above Weir",2015,0.091,0.049,0.024,0.082,0.208
"Lacamas_Above Weir",2015,0.034,0.028,0.004,0.026,0.109
"Olequa_Above Weir",2015,0.078,0.052,0.014,0.065,0.211
"Ostrander_Above Weir",2015,0.08,0.048,0.017,0.069,0.201
"Green",2015,0.432,0.125,0.196,0.433,0.676
"Upper NF Toutle",2015,0,0.001,0,0,0.002
"NF_MS Toutle",2015,0.667,0.121,0.403,0.68,0.869
"SF Toutle",2015,0.495,0.08,0.336,0.495,0.653
"Coweeman",2015,0.194,0.076,0.073,0.185,0.364
"Kalama",2015,0.877,0.043,0.78,0.882,0.946
"Lower Lewis",2015,0.302,0.161,0.061,0.277,0.662
"Upper NF Lewis",2015,0.97,0.003,0.965,0.97,0.975
"Cedar",2015,0.112,0.057,0.029,0.103,0.247
"EF Lewis",2015,0.197,0.102,0.049,0.18,0.436
"Salmon Creek",2015,0.044,0.054,0.002,0.025,0.198
"Washougal",2015,0.616,0.113,0.381,0.622,0.817
"Lower Gorge",2015,0.145,0.083,0.03,0.129,0.347
"Duncan_Above Weir",2015,0.179,0.14,0.016,0.141,0.536
"Grays_Chinook",2016,0.573,0.109,0.35,0.576,0.775
"Elochoman_Skamokawa",2016,0.33,0.111,0.138,0.323,0.56
"Abernathy",2016,0.131,0.023,0.091,0.13,0.179
"Abernathy_Above AFTC",2016,0.134,0.023,0.093,0.134,0.182
"Mill",2016,0.128,0.022,0.089,0.127,0.174
"Germany",2016,0.128,0.022,0.089,0.127,0.175
"Upper Cowlitz and Cispus",2016,0.907,0.004,0.899,0.907,0.913
"Tilton",2016,0.62,0.013,0.592,0.621,0.643
"Lower Cowlitz",2016,0.166,0.123,0.017,0.135,0.473
