"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Coweeman",2010,3905,887,2468,3799,5954
"EF Lewis",2010,1747,695,755,1640,3425
"Elochoman, Skamokawa",2010,899,287,469,858,1589
"Grays, Chinook",2010,523,238,203,479,1091
"Kalama",2010,88,57,23,75,230
"Lower Cowlitz",2010,5928,2237,3152,5482,11107
"Lower Gorge",2010,590,195,317,555,1062
"Mill, Abernathy, Germany, Coal",2010,918,229,615,875,1465
"NF Lewis",2010,2289,557,1669,2157,3665
"NF Toutle",2010,1719,443,1099,1644,2770
"Salmon Creek",2010,2177,1082,829,1952,4934
"SF Toutle",2010,1756,653,819,1653,3332
"Tilton",2010,899,30,843,899,957
"Upper Cowlitz and Cispus",2010,2774,52,2675,2774,2877
"Washougal",2010,647,244,319,597,1264
"Coweeman",2011,3420,781,2236,3311,5242
"EF Lewis",2011,1609,585,780,1502,3044
"Elochoman, Skamokawa",2011,634,194,339,605,1099
"Grays, Chinook",2011,326,150,113,301,686
"Kalama",2011,53,34,14,46,129
"Lower Cowlitz",2011,5139,4380,2363,4316,12253
"Lower Gorge",2011,469,137,275,446,796
"Mill, Abernathy, Germany, Coal",2011,541,145,351,514,893
"NF Lewis",2011,1493,426,1098,1389,2519
"NF Toutle",2011,999,325,552,947,1758
"Salmon Creek",2011,1448,633,625,1320,3053
"SF Toutle",2011,1244,481,505,1180,2363
"Tilton",2011,1963,44,1876,1963,2050
"Upper Cowlitz and Cispus",2011,7615,87,7446,7615,7790
"Washougal",2011,430,157,218,399,816
"Coweeman",2012,3291,727,2149,3200,4984
"EF Lewis",2012,2862,1115,1438,2617,5666
"Elochoman, Skamokawa",2012,496,157,245,477,852
"Grays, Chinook",2012,482,172,217,461,878
"Kalama",2012,52,27,16,47,120
"Lower Cowlitz",2012,6438,7812,2521,5135,17254
"Lower Gorge",2012,523,157,292,498,904
"Mill, Abernathy, Germany, Coal",2012,568,123,387,549,856
"NF Lewis",2012,1587,356,1168,1524,2377
"NF Toutle",2012,1445,413,938,1366,2428
"Salmon Creek",2012,1523,592,697,1421,2979
"SF Toutle",2012,2002,671,1061,1876,3655
