"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Grays_Chinook",2010,1910,917,847,1667,4350
"Elochoman_Skamokawa",2010,2553,854,1280,2374,4568
"Abernathy",2010,72,15,48,72,105
"Abernathy_Above AFTC",2010,40,23,13,35,96
"Mill",2010,36,22,8,32,89
"Germany",2010,29,19,6,25,79
"Coal",2010,457,2490,0,16,8057
"Upper Cowlitz and Cispus",2010,19295,286,18760,19308,19877
"Tilton",2010,2032,153,1723,2034,2320
"Lower Cowlitz",2010,309,260,42,229,975
"Delameter_Above Weir",2010,20,53,0,4,171
"Lacamas_Above Weir",2010,3353,41887,4,135,7164
"Olequa_Above Weir",2010,199,179,24,150,640
"Ostrander_Above Weir",2010,68,130,1,26,466
"Green",2010,1941,387,1288,1912,2744
"Upper NF Toutle",2010,0,0,0,0,1
"NF_MS Toutle",2010,541,853,20,236,3015
"SF Toutle",2010,497,208,202,460,1037
"Coweeman",2010,427,203,173,393,883
"Kalama",2010,1756,1322,403,1383,5194
"Lower Lewis",2010,122,149,11,77,556
"Upper NF Lewis",2010,0,0,0,0,0
"Cedar",2010,691,67,563,686,824
"EF Lewis",2010,589,364,159,493,1601
"Salmon Creek",2010,346,746,8,152,1843
"Washougal",2010,464,252,155,420,1024
"Lower Gorge",2010,197,104,81,176,452
"Duncan_Above Weir",2010,2,2,0,1,7
"Grays_Chinook",2011,4004,1850,1709,3644,8698
"Elochoman_Skamokawa",2011,1003,332,526,954,1810
"Abernathy",2011,60,15,35,59,91
"Abernathy_Above AFTC",2011,47,22,17,42,100
"Mill",2011,36,21,8,32,90
"Germany",2011,36,30,10,28,111
"Coal",2011,312,2066,0,10,1902
"Upper Cowlitz and Cispus",2011,11764,260,11226,11786,12233
"Tilton",2011,4353,233,3886,4351,4775
"Lower Cowlitz",2011,193,187,23,135,634
"Delameter_Above Weir",2011,6,10,0,2,33
"Lacamas_Above Weir",2011,1007,4070,2,93,7956
"Olequa_Above Weir",2011,67,76,5,42,277
"Ostrander_Above Weir",2011,19,35,0,8,108
"Green",2011,112,72,22,97,287
"Upper NF Toutle",2011,0,0,0,0,0
"NF_MS Toutle",2011,293,322,18,183,1204
"SF Toutle",2011,224,182,35,162,740
"Coweeman",2011,201,92,58,189,420
"Kalama",2011,493,498,90,331,1933
"Lower Lewis",2011,146,130,30,105,486
"Upper NF Lewis",2011,0,0,0,0,0
"Cedar",2011,310,25,266,308,363
"EF Lewis",2011,140,127,22,108,408
"Salmon Creek",2011,104,160,4,56,410
"Washougal",2011,61,45,14,47,184
"Lower Gorge",2011,79,69,14,62,254
"Duncan_Above Weir",2011,2,2,0,2,6
"Grays_Chinook",2012,357,189,99,323,798
"Elochoman_Skamokawa",2012,245,138,67,220,570
"Abernathy",2012,7,3,3,7,16
"Abernathy_Above AFTC",2012,5,3,2,5,13
"Mill",2012,4,3,1,3,10
"Germany",2012,4,4,1,4,14
"Coal",2012,307,1502,0,12,2447
"Upper Cowlitz and Cispus",2012,2216,65,2097,2217,2343
"Tilton",2012,3593,190,3218,3610,3932
"Lower Cowlitz",2012,702,1017,49,404,3106
"Delameter_Above Weir",2012,7,15,0,2,40
"Lacamas_Above Weir",2012,681,2025,10,136,5110
"Olequa_Above Weir",2012,39,65,2,17,213
"Ostrander_Above Weir",2012,11,15,0,6,55
"Green",2012,133,81,29,114,310
"Upper NF Toutle",2012,0,0,0,0,0
"NF_MS Toutle",2012,301,266,36,215,1049
"SF Toutle",2012,294,197,69,244,855
"Coweeman",2012,187,135,29,154,523
"Kalama",2012,262,158,87,224,644
"Lower Lewis",2012,72,62,10,55,242
"Upper NF Lewis",2012,132,12,113,131,159
"Cedar",2012,107,56,26,97,252
"EF Lewis",2012,256,171,53,219,679
"Salmon Creek",2012,107,112,7,66,432
"Washougal",2012,70,55,14,56,198
"Lower Gorge",2012,99,63,23,83,252
"Duncan_Above Weir",2012,9,7,1,7,25
"Grays_Chinook",2013,1559,469,879,1471,2777
"Elochoman_Skamokawa",2013,556,204,261,516,1015
"Abernathy",2013,35,13,15,33,63
"Abernathy_Above AFTC",2013,21,9,8,19,45
"Mill",2013,12,5,5,11,23
"Germany",2013,15,6,5,14,30
"Coal",2013,1148,9927,0,13,5597
"Upper Cowlitz and Cispus",2013,5794,291,5218,5797,6288
"Tilton",2013,3736,242,3206,3761,4122
"Lower Cowlitz",2013,1252,519,545,1138,2506
"Delameter_Above Weir",2013,4,4,0,3,15
"Lacamas_Above Weir",2013,395,477,52,264,1810
"Olequa_Above Weir",2013,20,16,3,16,61
"Ostrander_Above Weir",2013,4,3,0,3,14
"Green",2013,220,115,57,200,494
"Upper NF Toutle",2013,0,0,0,0,1
"NF_MS Toutle",2013,479,300,125,412,1265
"SF Toutle",2013,594,373,188,503,1468
"Coweeman",2013,640,295,239,591,1334
"Kalama",2013,351,217,104,293,849
"Lower Lewis",2013,296,202,71,247,792
"Upper NF Lewis",2013,6930,86,6764,6933,7096
"Cedar",2013,349,67,231,348,488
"EF Lewis",2013,269,146,86,241,588
"Salmon Creek",2013,49,60,3,31,191
"Washougal",2013,262,135,81,237,569
"Lower Gorge",2013,239,144,57,209,636
"Duncan_Above Weir",2013,2,2,0,1,7
"Grays_Chinook",2014,1951,528,1061,1910,3152
"Elochoman_Skamokawa",2014,2039,528,1251,1968,3176
"Abernathy",2014,142,21,103,141,185
"Abernathy_Above AFTC",2014,121,19,86,119,161
"Mill",2014,152,23,110,149,203
"Germany",2014,80,14,56,79,110
"Coal",2014,1504,10909,0,30,7752
"Upper Cowlitz and Cispus",2014,22566,294,21990,22569,23138
"Tilton",2014,4881,162,4598,4875,5176
