"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Grays_Chinook",2010,462,193,206,432,955
"Elochoman_Skamokawa",2010,992,325,524,931,1719
"Abernathy",2010,516,52,430,514,622
"Abernathy_Above AFTC",2010,279,141,103,249,634
"Mill",2010,262,151,72,238,641
"Germany",2010,206,126,52,184,525
"Coal",2010,170,136,44,130,503
"Upper Cowlitz and Cispus",2010,2776,51,2682,2779,2878
"Tilton",2010,897,30,836,896,955
"Lower Cowlitz",2010,2398,904,1215,2209,5017
"Delameter_Above Weir",2010,206,109,71,183,469
"Lacamas_Above Weir",2010,1606,1566,177,1157,5636
"Olequa_Above Weir",2010,1632,740,673,1468,3550
"Ostrander_Above Weir",2010,172,118,41,149,496
"Green",2010,952,189,651,928,1372
"Upper NF Toutle",2010,206,14,184,205,237
"NF_MS Toutle",2010,641,305,216,575,1402
"SF Toutle",2010,1910,709,907,1786,3650
"Coweeman",2010,4279,1020,2725,4095,6752
"Kalama",2010,82,60,23,67,215
"Lower Lewis",2010,831,513,273,704,2380
"Upper NF Lewis",2010,0,0,0,0,0
"Cedar",2010,1460,107,1256,1450,1688
"EF Lewis",2010,1777,713,779,1646,3502
"Salmon Creek",2010,1495,781,520,1341,3527
"Washougal",2010,684,315,314,614,1397
"Lower Gorge",2010,528,182,272,504,912
"Duncan_Above Weir",2010,68,14,45,67,99
"Grays_Chinook",2011,317,126,128,298,616
"Elochoman_Skamokawa",2011,673,187,360,648,1056
"Abernathy",2011,270,31,216,269,333
"Abernathy_Above AFTC",2011,196,73,87,184,370
"Mill",2011,153,80,34,136,341
"Germany",2011,156,117,48,123,442
"Coal",2011,133,147,25,96,457
"Upper Cowlitz and Cispus",2011,7603,89,7440,7601,7796
"Tilton",2011,1962,43,1878,1963,2047
"Lower Cowlitz",2011,1444,545,684,1342,2819
"Delameter_Above Weir",2011,155,69,58,143,321
"Lacamas_Above Weir",2011,1977,2386,139,1199,8235
"Olequa_Above Weir",2011,1444,807,617,1250,3258
"Ostrander_Above Weir",2011,108,74,28,90,294
"Green",2011,510,161,230,500,829
"Upper NF Toutle",2011,56,7,43,56,70
"NF_MS Toutle",2011,497,265,180,441,1161
"SF Toutle",2011,1328,498,646,1258,2515
"Coweeman",2011,3832,893,2379,3737,5882
"Kalama",2011,46,26,12,40,118
"Lower Lewis",2011,577,426,189,465,1837
"Upper NF Lewis",2011,0,0,0,0,0
"Cedar",2011,920,55,818,918,1036
"EF Lewis",2011,1665,625,750,1594,3024
"Salmon Creek",2011,1019,495,402,911,2191
"Washougal",2011,432,154,226,401,792
"Lower Gorge",2011,425,130,227,404,713
"Duncan_Above Weir",2011,60,11,40,59,83
"Grays_Chinook",2012,442,139,218,434,744
"Elochoman_Skamokawa",2012,588,177,295,568,982
"Abernathy",2012,296,38,231,293,371
"Abernathy_Above AFTC",2012,208,61,110,204,351
"Mill",2012,156,67,68,144,318
"Germany",2012,159,89,51,138,408
"Coal",2012,159,191,30,109,533
"Upper Cowlitz and Cispus",2012,1602,38,1527,1603,1675
"Tilton",2012,1266,34,1202,1266,1330
"Lower Cowlitz",2012,1462,532,648,1406,2687
"Delameter_Above Weir",2012,179,71,81,169,349
"Lacamas_Above Weir",2012,3218,4595,261,1876,13415
"Olequa_Above Weir",2012,1543,1321,469,1232,4658
"Ostrander_Above Weir",2012,128,61,38,116,268
"Green",2012,724,146,471,712,1047
"Upper NF Toutle",2012,137,12,116,136,163
"NF_MS Toutle",2012,674,358,290,600,1571
"SF Toutle",2012,2115,657,1169,2005,3802
"Coweeman",2012,3643,823,2379,3564,5456
"Kalama",2012,46,23,17,40,106
"Lower Lewis",2012,501,318,166,416,1390
"Upper NF Lewis",2012,33,6,23,33,47
"Cedar",2012,1092,128,877,1078,1388
"EF Lewis",2012,3104,1284,1701,2769,5841
"Salmon Creek",2012,1149,534,495,1033,2603
"Washougal",2012,447,156,235,413,815
"Lower Gorge",2012,492,147,240,485,808
