"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Grays_Chinook",2010,0.456,0.043,0.375,0.456,0.543
"Elochoman_Skamokawa",2010,0.439,0.049,0.345,0.435,0.543
"Abernathy",2010,0.492,0.028,0.436,0.492,0.548
"Abernathy_Above AFTC",2010,0.484,0.028,0.433,0.482,0.54
"Mill",2010,0.483,0.026,0.434,0.483,0.531
"Germany",2010,0.482,0.031,0.424,0.481,0.542
"Coal",2010,0.465,0.054,0.358,0.467,0.573
"Upper Cowlitz and Cispus",2010,0.475,0.048,0.39,0.473,0.569
"Tilton",2010,0.476,0.051,0.388,0.478,0.576
"Lower Cowlitz",2010,0.523,0.048,0.432,0.524,0.621
"Delameter_Above Weir",2010,0.468,0.056,0.356,0.471,0.56
"Lacamas_Above Weir",2010,0.483,0.05,0.386,0.486,0.57
"Olequa_Above Weir",2010,0.479,0.057,0.363,0.477,0.586
"Ostrander_Above Weir",2010,0.482,0.056,0.391,0.48,0.605
"Green",2010,0.503,0.027,0.455,0.503,0.554
"Upper NF Toutle",2010,0.484,0.056,0.379,0.479,0.607
"NF_MS Toutle",2010,0.469,0.049,0.389,0.466,0.583
"SF Toutle",2010,0.44,0.036,0.376,0.438,0.516
"Coweeman",2010,0.458,0.04,0.381,0.455,0.538
"Kalama",2010,0.451,0.045,0.359,0.452,0.531
"Lower Lewis",2010,0.466,0.049,0.377,0.468,0.561
"Upper NF Lewis",2010,0.478,0.05,0.382,0.475,0.573
"Cedar",2010,0.416,0.039,0.342,0.418,0.49
"EF Lewis",2010,0.469,0.047,0.372,0.468,0.559
"Salmon Creek",2010,0.481,0.057,0.371,0.479,0.593
"Washougal",2010,0.431,0.046,0.346,0.434,0.512
"Lower Gorge",2010,0.509,0.045,0.413,0.51,0.592
"Duncan_Above Weir",2010,0.481,0.043,0.397,0.481,0.561
"Grays_Chinook",2011,0.45,0.049,0.349,0.451,0.538
"Elochoman_Skamokawa",2011,0.457,0.046,0.372,0.457,0.548
"Abernathy",2011,0.567,0.029,0.507,0.567,0.623
"Abernathy_Above AFTC",2011,0.56,0.034,0.494,0.561,0.629
"Mill",2011,0.558,0.033,0.491,0.556,0.626
"Germany",2011,0.556,0.035,0.491,0.557,0.628
"Coal",2011,0.467,0.054,0.364,0.466,0.582
"Upper Cowlitz and Cispus",2011,0.461,0.046,0.373,0.462,0.544
"Tilton",2011,0.466,0.052,0.363,0.468,0.561
"Lower Cowlitz",2011,0.473,0.053,0.372,0.47,0.576
"Delameter_Above Weir",2011,0.466,0.054,0.356,0.467,0.576
"Lacamas_Above Weir",2011,0.479,0.057,0.359,0.483,0.58
"Olequa_Above Weir",2011,0.462,0.051,0.363,0.462,0.56
"Ostrander_Above Weir",2011,0.476,0.061,0.355,0.476,0.582
"Green",2011,0.434,0.055,0.324,0.433,0.547
"Upper NF Toutle",2011,0.47,0.053,0.363,0.472,0.575
"NF_MS Toutle",2011,0.469,0.052,0.373,0.472,0.569
"SF Toutle",2011,0.451,0.051,0.346,0.448,0.557
"Coweeman",2011,0.506,0.041,0.431,0.506,0.59
"Kalama",2011,0.478,0.049,0.387,0.479,0.577
"Lower Lewis",2011,0.565,0.051,0.468,0.564,0.663
"Upper NF Lewis",2011,0.486,0.051,0.393,0.487,0.581
"Cedar",2011,0.424,0.046,0.339,0.423,0.509
"EF Lewis",2011,0.497,0.051,0.411,0.492,0.605
"Salmon Creek",2011,0.49,0.05,0.394,0.487,0.594
"Washougal",2011,0.484,0.052,0.391,0.482,0.585
"Lower Gorge",2011,0.5,0.05,0.409,0.499,0.588
"Duncan_Above Weir",2011,0.508,0.043,0.424,0.505,0.591
"Grays_Chinook",2012,0.489,0.05,0.386,0.49,0.57
"Elochoman_Skamokawa",2012,0.48,0.051,0.381,0.478,0.582
"Abernathy",2012,0.468,0.032,0.41,0.466,0.536
"Abernathy_Above AFTC",2012,0.464,0.027,0.407,0.465,0.515
"Mill",2012,0.463,0.031,0.403,0.464,0.519
"Germany",2012,0.465,0.03,0.408,0.465,0.524
"Coal",2012,0.476,0.051,0.364,0.481,0.568
"Upper Cowlitz and Cispus",2012,0.482,0.046,0.389,0.482,0.573
"Tilton",2012,0.47,0.054,0.365,0.474,0.582
"Lower Cowlitz",2012,0.474,0.049,0.384,0.475,0.571
"Delameter_Above Weir",2012,0.472,0.051,0.376,0.473,0.561
"Lacamas_Above Weir",2012,0.472,0.058,0.344,0.471,0.571
"Olequa_Above Weir",2012,0.478,0.051,0.377,0.476,0.575
"Ostrander_Above Weir",2012,0.486,0.052,0.385,0.488,0.592
"Green",2012,0.485,0.047,0.402,0.485,0.579
"Upper NF Toutle",2012,0.473,0.058,0.359,0.472,0.588
"NF_MS Toutle",2012,0.497,0.054,0.399,0.493,0.613
"SF Toutle",2012,0.476,0.045,0.397,0.477,0.564
"Coweeman",2012,0.478,0.043,0.387,0.476,0.562
"Kalama",2012,0.475,0.048,0.393,0.476,0.572
"Lower Lewis",2012,0.463,0.053,0.358,0.461,0.56
"Upper NF Lewis",2012,0.464,0.05,0.373,0.459,0.566
"Cedar",2012,0.441,0.053,0.357,0.435,0.553
"EF Lewis",2012,0.474,0.045,0.389,0.474,0.556
"Salmon Creek",2012,0.469,0.046,0.378,0.471,0.552
"Washougal",2012,0.473,0.051,0.378,0.472,0.568
