"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Grays_Chinook",2010,0.797,0.05,0.695,0.798,0.888
"Elochoman_Skamokawa",2010,0.715,0.065,0.587,0.717,0.834
"Abernathy",2010,0.123,0.022,0.084,0.123,0.168
"Abernathy_Above AFTC",2010,0.123,0.022,0.084,0.121,0.165
"Mill",2010,0.121,0.02,0.085,0.12,0.164
"Germany",2010,0.122,0.022,0.081,0.121,0.171
"Coal",2010,0.22,0.256,0.001,0.107,0.977
"Upper Cowlitz and Cispus",2010,0.874,0.003,0.869,0.874,0.879
"Tilton",2010,0.693,0.017,0.657,0.695,0.726
"Lower Cowlitz",2010,0.111,0.074,0.019,0.097,0.302
"Delameter_Above Weir",2010,0.066,0.115,0.001,0.021,0.442
"Lacamas_Above Weir",2010,0.215,0.241,0.004,0.099,0.838
"Olequa_Above Weir",2010,0.104,0.065,0.02,0.088,0.246
"Ostrander_Above Weir",2010,0.207,0.181,0.006,0.153,0.654
"Green",2010,0.67,0.029,0.611,0.67,0.724
"Upper NF Toutle",2010,0.001,0.002,0,0.001,0.007
"NF_MS Toutle",2010,0.333,0.218,0.029,0.3,0.804
"SF Toutle",2010,0.206,0.038,0.137,0.203,0.291
"Coweeman",2010,0.09,0.032,0.042,0.085,0.155
"Kalama",2010,0.947,0.027,0.886,0.952,0.985
"Lower Lewis",2010,0.117,0.081,0.017,0.093,0.32
"Upper NF Lewis",2010,0.646,0.239,0.123,0.694,0.973
"Cedar",2010,0.321,0.025,0.274,0.322,0.368
"EF Lewis",2010,0.245,0.09,0.091,0.232,0.459
"Salmon Creek",2010,0.143,0.148,0.008,0.097,0.577
"Washougal",2010,0.4,0.091,0.224,0.396,0.581
"Lower Gorge",2010,0.268,0.066,0.153,0.266,0.397
"Duncan_Above Weir",2010,0.026,0.024,0.002,0.02,0.087
"Grays_Chinook",2011,0.923,0.022,0.875,0.924,0.96
"Elochoman_Skamokawa",2011,0.591,0.091,0.404,0.595,0.753
"Abernathy",2011,0.181,0.037,0.118,0.177,0.263
"Abernathy_Above AFTC",2011,0.19,0.036,0.126,0.188,0.271
"Mill",2011,0.188,0.036,0.124,0.186,0.262
"Germany",2011,0.185,0.038,0.119,0.179,0.262
"Coal",2011,0.231,0.292,0,0.092,0.966
"Upper Cowlitz and Cispus",2011,0.607,0.005,0.597,0.607,0.617
"Tilton",2011,0.689,0.012,0.665,0.69,0.71
"Lower Cowlitz",2011,0.113,0.088,0.019,0.088,0.33
"Delameter_Above Weir",2011,0.035,0.044,0.001,0.017,0.171
"Lacamas_Above Weir",2011,0.174,0.191,0.003,0.095,0.683
"Olequa_Above Weir",2011,0.047,0.049,0.004,0.03,0.187
"Ostrander_Above Weir",2011,0.124,0.133,0.005,0.075,0.548
"Green",2011,0.18,0.102,0.039,0.159,0.454
"Upper NF Toutle",2011,0.001,0.001,0,0,0.004
"NF_MS Toutle",2011,0.321,0.181,0.037,0.31,0.721
"SF Toutle",2011,0.135,0.074,0.03,0.121,0.303
"Coweeman",2011,0.05,0.021,0.016,0.048,0.093
"Kalama",2011,0.878,0.081,0.693,0.898,0.976
"Lower Lewis",2011,0.194,0.067,0.079,0.187,0.335
"Upper NF Lewis",2011,0.696,0.196,0.273,0.733,0.952
"Cedar",2011,0.252,0.014,0.225,0.251,0.283
"EF Lewis",2011,0.076,0.048,0.015,0.065,0.191
"Salmon Creek",2011,0.084,0.079,0.006,0.059,0.285
"Washougal",2011,0.12,0.064,0.037,0.108,0.273
"Lower Gorge",2011,0.15,0.09,0.033,0.135,0.373
"Duncan_Above Weir",2011,0.034,0.024,0.005,0.029,0.097
"Grays_Chinook",2012,0.431,0.129,0.172,0.431,0.682
"Elochoman_Skamokawa",2012,0.288,0.113,0.098,0.278,0.506
"Abernathy",2012,0.025,0.01,0.009,0.024,0.049
"Abernathy_Above AFTC",2012,0.025,0.01,0.009,0.024,0.047
"Mill",2012,0.024,0.011,0.008,0.022,0.054
"Germany",2012,0.026,0.011,0.01,0.024,0.054
"Coal",2012,0.253,0.308,0,0.087,0.963
"Upper Cowlitz and Cispus",2012,0.58,0.009,0.561,0.581,0.598
"Tilton",2012,0.739,0.011,0.716,0.74,0.758
"Lower Cowlitz",2012,0.261,0.176,0.038,0.222,0.671
"Delameter_Above Weir",2012,0.034,0.057,0.001,0.013,0.208
"Lacamas_Above Weir",2012,0.126,0.14,0.01,0.069,0.55
"Olequa_Above Weir",2012,0.022,0.026,0.001,0.014,0.101
"Ostrander_Above Weir",2012,0.073,0.082,0.003,0.046,0.324
"Green",2012,0.153,0.083,0.039,0.139,0.34
"Upper NF Toutle",2012,0,0.001,0,0,0.002
"NF_MS Toutle",2012,0.287,0.142,0.081,0.265,0.631
"SF Toutle",2012,0.119,0.06,0.032,0.111,0.253
"Coweeman",2012,0.048,0.031,0.008,0.042,0.13
"Kalama",2012,0.832,0.08,0.642,0.841,0.946
"Lower Lewis",2012,0.125,0.067,0.029,0.113,0.27
"Upper NF Lewis",2012,0.8,0.03,0.733,0.802,0.852
"Cedar",2012,0.089,0.045,0.023,0.08,0.203
