"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Coweeman",2010,4706,1125,3023,4540,7286
"EF Lewis",2010,2366,946,1017,2185,4906
"Elochoman, Skamokawa",2010,3544,1052,1972,3361,6265
"Grays, Chinook",2010,2373,1052,1091,2122,5000
"Kalama",2010,1838,1362,443,1452,5339
"Lower Cowlitz",2010,9962,42718,3992,6680,16921
"Lower Gorge",2010,795,263,440,755,1378
"Mill, Abernathy, Germany, Coal",2010,2067,2503,1077,1628,9614
"NF Lewis",2010,3104,625,2371,2975,4923
"NF Toutle",2010,4281,1185,2845,4041,7688
"Salmon Creek",2010,1841,1191,585,1580,4717
"SF Toutle",2010,2407,889,1151,2290,4598
"Tilton",2010,2929,159,2606,2932,3227
"Upper Cowlitz and Cispus",2010,22071,292,21514,22077,22616
"Washougal",2010,1148,519,549,1046,2288
"Coweeman",2011,4034,929,2561,3917,6159
"EF Lewis",2011,1805,681,830,1705,3368
"Elochoman, Skamokawa",2011,1676,413,1029,1612,2631
"Grays, Chinook",2011,4322,1940,1863,3939,9290
"Kalama",2011,539,506,121,377,2042
"Lower Cowlitz",2011,6421,5646,2722,4945,20487
"Lower Gorge",2011,566,162,338,541,973
"Mill, Abernathy, Germany, Coal",2011,1400,2089,712,1102,3015
"NF Lewis",2011,1953,538,1445,1818,3631
"NF Toutle",2011,1468,520,752,1381,2826
"Salmon Creek",2011,1122,573,483,989,2438
"SF Toutle",2011,1552,613,722,1439,3063
"Tilton",2011,6315,239,5839,6324,6744
"Upper Cowlitz and Cispus",2011,19368,293,18783,19391,19884
"Washougal",2011,492,177,254,460,930
"Coweeman",2012,3829,867,2488,3753,5749
"EF Lewis",2012,3359,1369,1844,3009,6361
"Elochoman, Skamokawa",2012,833,242,458,795,1378
"Grays, Chinook",2012,799,256,415,774,1373
"Kalama",2012,307,168,125,264,734
"Lower Cowlitz",2012,7970,5979,3214,6051,22149
"Lower Gorge",2012,663,181,343,655,1039
"Mill, Abernathy, Germany, Coal",2012,1306,1500,689,1040,3372
"NF Lewis",2012,1938,389,1464,1859,2921
"NF Toutle",2012,1968,534,1235,1886,3242
"Salmon Creek",2012,1256,578,520,1122,2773
"SF Toutle",2012,2409,756,1310,2269,4383
"Tilton",2012,4859,197,4467,4881,5201
"Upper Cowlitz and Cispus",2012,3818,77,3677,3815,3965
"Washougal",2012,517,184,271,483,955
"Coweeman",2013,4681,960,3168,4476,6869
"EF Lewis",2013,2872,950,1550,2687,5378
