"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Coweeman",2010,427,203,173,393,883
"EF Lewis",2010,589,364,159,493,1601
"Elochoman, Skamokawa",2010,2553,854,1280,2374,4568
"Grays, Chinook",2010,1910,917,847,1667,4350
"Kalama",2010,1756,1322,403,1383,5194
"Lower Cowlitz",2010,3948,41903,251,759,7753
"Lower Gorge",2010,199,104,83,177,453
"Mill, Abernathy, Germany, Coal",2010,634,2488,124,202,8200
"NF Lewis",2010,813,162,610,780,1263
"NF Toutle",2010,2482,960,1447,2261,5069
"Salmon Creek",2010,346,746,8,152,1843
"SF Toutle",2010,497,208,202,460,1037
"Tilton",2010,2032,153,1723,2034,2320
"Upper Cowlitz and Cispus",2010,19295,286,18760,19308,19877
"Washougal",2010,464,252,155,420,1024
"Coweeman",2011,201,92,58,189,420
"EF Lewis",2011,140,127,22,108,408
"Elochoman, Skamokawa",2011,1003,332,526,954,1810
"Grays, Chinook",2011,4004,1850,1709,3644,8698
"Kalama",2011,493,498,90,331,1933
"Lower Cowlitz",2011,1293,4072,92,435,8184
"Lower Gorge",2011,82,69,16,64,255
"Mill, Abernathy, Germany, Coal",2011,490,2065,118,195,2080
"NF Lewis",2011,456,132,320,418,794
"NF Toutle",2011,405,334,65,306,1323
"Salmon Creek",2011,104,160,4,56,410
"SF Toutle",2011,224,182,35,162,740
"Tilton",2011,4353,233,3886,4351,4775
"Upper Cowlitz and Cispus",2011,11764,260,11226,11786,12233
"Washougal",2011,61,45,14,47,184
"Coweeman",2012,187,135,29,154,523
"EF Lewis",2012,256,171,53,219,679
"Elochoman, Skamokawa",2012,245,138,67,220,570
"Grays, Chinook",2012,357,189,99,323,798
"Kalama",2012,262,158,87,224,644
"Lower Cowlitz",2012,1440,2230,152,791,6543
"Lower Gorge",2012,108,63,29,93,260
"Mill, Abernathy, Germany, Coal",2012,329,1501,13,35,2474
"NF Lewis",2012,312,88,199,293,500
"NF Toutle",2012,434,285,134,349,1184
"Salmon Creek",2012,107,112,7,66,432
"SF Toutle",2012,294,197,69,244,855
"Tilton",2012,3593,190,3218,3610,3932
"Upper Cowlitz and Cispus",2012,2216,65,2097,2217,2343
"Washougal",2012,70,55,14,56,198
"Coweeman",2013,640,295,239,591,1334
"EF Lewis",2013,269,146,86,241,588
"Elochoman, Skamokawa",2013,556,204,261,516,1015
"Grays, Chinook",2013,1559,469,879,1471,2777
"Kalama",2013,351,217,104,293,849
"Lower Cowlitz",2013,1675,697,817,1498,3710
"Lower Gorge",2013,241,144,61,212,638
"Mill, Abernathy, Germany, Coal",2013,1231,9929,58,103,5718
"NF Lewis",2013,7575,227,7246,7544,8092
"NF Toutle",2013,699,312,271,645,1496
"Salmon Creek",2013,49,60,3,31,191
"SF Toutle",2013,594,373,188,503,1468
"Tilton",2013,3736,242,3206,3761,4122
"Upper Cowlitz and Cispus",2013,5794,291,5218,5797,6288
"Washougal",2013,262,135,81,237,569
"Coweeman",2014,1588,499,849,1504,2686
"EF Lewis",2014,962,590,267,820,2470
"Elochoman, Skamokawa",2014,2039,528,1251,1968,3176
"Grays, Chinook",2014,1951,528,1061,1910,3152
"Kalama",2014,1373,662,430,1290,2984
"Lower Cowlitz",2014,1271,406,707,1191,2376
"Lower Gorge",2014,705,382,222,612,1753
"Mill, Abernathy, Germany, Coal",2014,1999,10912,435,545,8222
"NF Lewis",2014,9353,500,8659,9240,10675
"NF Toutle",2014,2759,976,1596,2549,4948
"Salmon Creek",2014,87,98,6,58,360
"SF Toutle",2014,2620,1039,1335,2361,5355
"Tilton",2014,4881,162,4598,4875,5176
"Upper Cowlitz and Cispus",2014,22566,294,21990,22569,23138
"Washougal",2014,2197,1007,873,2016,4672
"Coweeman",2015,322,138,122,299,646
"EF Lewis",2015,149,107,27,121,447
"Elochoman, Skamokawa",2015,256,120,92,235,556
"Grays, Chinook",2015,346,204,122,289,940
"Kalama",2015,215,107,79,189,498
"Lower Cowlitz",2015,283,211,75,205,840
"Lower Gorge",2015,61,46,11,47,188
"Mill, Abernathy, Germany, Coal",2015,298,1257,51,88,2052
"NF Lewis",2015,3766,118,3592,3748,4070
"NF Toutle",2015,1238,643,509,1070,3062
"Salmon Creek",2015,35,51,2,19,158
"SF Toutle",2015,1639,703,688,1473,3366
"Tilton",2015,1531,96,1318,1532,1709
"Upper Cowlitz and Cispus",2015,922,42,834,926,1000
"Washougal",2015,284,150,83,260,672
"Coweeman",2016,638,339,195,585,1425
"EF Lewis",2016,684,580,147,534,1920
"Elochoman, Skamokawa",2016,501,251,177,445,1081
"Grays, Chinook",2016,904,303,471,864,1731
"Kalama",2016,156,104,26,127,417
"Lower Cowlitz",2016,513,386,124,394,1584
"Lower Gorge",2016,75,52,14,65,179
"Mill, Abernathy, Germany, Coal",2016,434,1479,185,254,1189
"NF Lewis",2016,6121,219,5816,6078,6703
"NF Toutle",2016,3326,843,2120,3163,5239
"Salmon Creek",2016,133,166,5,75,692
"SF Toutle",2016,807,420,305,725,1793
"Tilton",2016,4265,224,3777,4271,4654
"Upper Cowlitz and Cispus",2016,8826,235,8320,8834,9218
"Washougal",2016,844,336,386,791,1627
"Coweeman",2017,415,311,43,322,1141
"EF Lewis",2017,994,479,297,913,2210
"Elochoman, Skamokawa",2017,372,255,49,308,1017
"Grays, Chinook",2017,910,384,372,846,1859
"Kalama",2017,156,192,13,112,613
"Lower Cowlitz",2017,981,785,162,760,2979
"Lower Gorge",2017,117,106,19,88,367
"Mill, Abernathy, Germany, Coal",2017,162,181,75,117,478
"NF Lewis",2017,5074,202,4762,5054,5559
"NF Toutle",2017,382,311,97,307,1204
"Salmon Creek",2017,202,189,17,135,695
"SF Toutle",2017,152,131,16,116,531
"Tilton",2017,5209,160,4836,5232,5482
"Upper Cowlitz and Cispus",2017,6417,173,6072,6417,6721
"Washougal",2017,849,313,431,791,1670
"Coweeman",2018,1471,1035,144,1284,3860
"EF Lewis",2018,306,191,79,270,819
"Elochoman, Skamokawa",2018,949,432,333,866,1975
"Grays, Chinook",2018,1122,705,461,970,2468
"Kalama",2018,174,111,40,146,461
"Lower Cowlitz",2018,328,272,75,234,1080
"Lower Gorge",2018,196,130,46,171,517
"Mill, Abernathy, Germany, Coal",2018,251,50,179,242,365
"NF Lewis",2018,7569,646,6755,7469,9078
"NF Toutle",2018,422,287,91,364,1233
"Salmon Creek",2018,199,156,36,161,586
"SF Toutle",2018,145,162,13,98,591
"Tilton",2018,3109,120,2868,3116,3320
"Upper Cowlitz and Cispus",2018,5794,115,5573,5802,6002
"Washougal",2018,815,398,305,717,1801
"Coweeman",2019,1370,623,469,1264,2766
"EF Lewis",2019,262,190,51,208,723
"Elochoman, Skamokawa",2019,1181,492,408,1122,2322
"Grays, Chinook",2019,1133,583,366,1038,2326
"Kalama",2019,213,254,31,123,957
"Lower Cowlitz",2019,283,201,92,217,891
"Lower Gorge",2019,440,232,131,389,1010
"Mill, Abernathy, Germany, Coal",2019,842,98,680,829,1035
"NF Lewis",2019,4952,499,4302,4838,6142
"NF Toutle",2019,706,503,210,602,2185
"Salmon Creek",2019,224,170,38,181,677
"SF Toutle",2019,320,190,74,285,860
"Tilton",2019,5618,187,5221,5622,5977
"Upper Cowlitz and Cispus",2019,6145,142,5847,6153,6389
"Washougal",2019,757,317,325,701,1563
"Coweeman",2020,998,519,271,903,2415
"EF Lewis",2020,290,197,49,243,771
"Elochoman, Skamokawa",2020,619,380,124,525,1558
"Grays, Chinook",2020,791,409,253,728,1655
"Kalama",2020,782,401,288,699,1850
"Lower Cowlitz",2020,411,398,152,318,1196
"Lower Gorge",2020,154,146,18,110,496
"Mill, Abernathy, Germany, Coal",2020,349,119,180,326,594
"NF Lewis",2020,8271,937,6872,8147,10305
"NF Toutle",2020,488,263,188,438,1080
"Salmon Creek",2020,254,211,49,201,813
"SF Toutle",2020,181,120,38,153,482
"Tilton",2020,10797,266,10270,10808,11286
"Upper Cowlitz and Cispus",2020,12326,216,11894,12327,12695
"Washougal",2020,1464,537,713,1366,2707
"Coweeman",2021,1315,517,537,1245,2548
"EF Lewis",2021,383,184,146,343,859
"Elochoman, Skamokawa",2021,1603,473,967,1526,2667
"Grays, Chinook",2021,1564,400,964,1505,2576
"Kalama",2021,814,475,278,682,2109
"Lower Cowlitz",2021,1156,373,600,1101,1892
"Lower Gorge",2021,95,67,22,78,294
"Mill, Abernathy, Germany, Coal",2021,433,95,266,421,657
"NF Lewis",2021,7682,1093,6795,7446,10184
"NF Toutle",2021,559,353,159,461,1495
"Salmon Creek",2021,109,115,13,70,454
"SF Toutle",2021,371,166,145,342,785
"Tilton",2021,8510,425,7700,8558,9295
"Upper Cowlitz and Cispus",2021,19715,247,19246,19718,20153
"Washougal",2021,180,99,51,159,455
"Coweeman",2022,529,279,171,463,1248
"EF Lewis",2022,362,207,82,325,929
"Elochoman, Skamokawa",2022,224,140,54,189,569
"Grays, Chinook",2022,767,417,234,677,1821
"Kalama",2022,379,207,148,329,903
"Lower Cowlitz",2022,849,454,349,738,2188
"Lower Gorge",2022,317,203,55,279,826
"Mill, Abernathy, Germany, Coal",2022,1208,277,702,1221,1703
"NF Lewis",2022,8379,1402,6889,7945,12261
"NF Toutle",2022,550,355,177,451,1424
"Salmon Creek",2022,119,114,10,87,383
"SF Toutle",2022,347,256,59,279,924
"Tilton",2022,9031,395,8217,9022,9770
"Upper Cowlitz and Cispus",2022,11866,287,11291,11878,12325
"Washougal",2022,526,255,200,467,1100
"Coweeman",2023,511,290,106,457,1167
"EF Lewis",2023,376,197,110,341,816
"Elochoman, Skamokawa",2023,324,185,69,289,700
"Grays, Chinook",2023,519,297,172,451,1194
"Kalama",2023,352,192,119,308,872
"Lower Cowlitz",2023,1278,457,785,1162,2405
"Lower Gorge",2023,118,160,7,68,486
"Mill, Abernathy, Germany, Coal",2023,636,124,432,624,884
"NF Lewis",2023,11931,12566,6302,9048,33919
"NF Toutle",2023,554,264,226,510,1203
"Salmon Creek",2023,200,239,15,124,797
"SF Toutle",2023,516,248,189,458,1055
"Tilton",2023,6894,989,4627,7095,8413
"Upper Cowlitz and Cispus",2023,6674,549,5351,6800,7387
"Washougal",2023,240,180,42,196,670
