"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Coweeman",2010,4279,1020,2725,4095,6752
"EF Lewis",2010,1777,713,779,1646,3502
"Elochoman, Skamokawa",2010,992,325,524,931,1719
"Grays, Chinook",2010,462,193,206,432,955
"Kalama",2010,82,60,23,67,215
"Lower Cowlitz",2010,6014,1916,3558,5613,10770
"Lower Gorge",2010,596,183,339,569,988
"Mill, Abernathy, Germany, Coal",2010,1433,299,937,1392,2117
"NF Lewis",2010,2291,527,1699,2170,3944
"NF Toutle",2010,1799,364,1286,1718,2703
"Salmon Creek",2010,1495,781,520,1341,3527
"SF Toutle",2010,1910,709,907,1786,3650
"Tilton",2010,897,30,836,896,955
"Upper Cowlitz and Cispus",2010,2776,51,2682,2779,2878
"Washougal",2010,684,315,314,614,1397
"Coweeman",2011,3832,893,2379,3737,5882
"EF Lewis",2011,1665,625,750,1594,3024
"Elochoman, Skamokawa",2011,673,187,360,648,1056
"Grays, Chinook",2011,317,126,128,298,616
"Kalama",2011,46,26,12,40,118
"Lower Cowlitz",2011,5128,2626,2491,4362,11507
"Lower Gorge",2011,485,129,285,468,769
"Mill, Abernathy, Germany, Coal",2011,910,241,584,867,1486
"NF Lewis",2011,1497,427,1094,1387,2750
"NF Toutle",2011,1063,308,596,1012,1789
"Salmon Creek",2011,1019,495,402,911,2191
"SF Toutle",2011,1328,498,646,1258,2515
"Tilton",2011,1962,43,1878,1963,2047
"Upper Cowlitz and Cispus",2011,7603,89,7440,7601,7796
"Washougal",2011,432,154,226,401,792
"Coweeman",2012,3643,823,2379,3564,5456
"EF Lewis",2012,3104,1284,1701,2769,5841
"Elochoman, Skamokawa",2012,588,177,295,568,982
"Grays, Chinook",2012,442,139,218,434,744
"Kalama",2012,46,23,17,40,106
"Lower Cowlitz",2012,6530,4786,2542,5166,17715
"Lower Gorge",2012,556,149,287,551,894
"Mill, Abernathy, Germany, Coal",2012,978,252,651,939,1520
"NF Lewis",2012,1626,343,1193,1559,2372
"NF Toutle",2012,1534,374,1012,1499,2412
"Salmon Creek",2012,1149,534,495,1033,2603
"SF Toutle",2012,2115,657,1169,2005,3802
"Tilton",2012,1266,34,1202,1266,1330
"Upper Cowlitz and Cispus",2012,1602,38,1527,1603,1675
"Washougal",2012,447,156,235,413,815
"Coweeman",2013,4041,808,2818,3911,5917
"EF Lewis",2013,2602,862,1430,2419,4768
"Elochoman, Skamokawa",2013,907,223,538,875,1392
"Grays, Chinook",2013,870,256,508,835,1500
"Kalama",2013,51,22,19,46,108
"Lower Cowlitz",2013,8117,4701,4096,6678,23985
"Lower Gorge",2013,719,200,423,692,1224
"Mill, Abernathy, Germany, Coal",2013,1204,234,955,1161,1935
"NF Lewis",2013,1498,362,1060,1430,2362
"NF Toutle",2013,2562,565,1760,2474,3907
"Salmon Creek",2013,1307,529,612,1201,2353
"SF Toutle",2013,3313,1245,1718,3007,6243
"Tilton",2013,2650,51,2556,2651,2755
"Upper Cowlitz and Cispus",2013,13,3,7,13,20
"Washougal",2013,483,167,259,450,835
"Coweeman",2014,8244,1905,5014,8152,12120
"EF Lewis",2014,4375,1579,1959,4189,8377
"Elochoman, Skamokawa",2014,3624,830,2401,3516,5588
"Grays, Chinook",2014,2832,545,1855,2765,4064
"Kalama",2014,150,67,51,143,316
"Lower Cowlitz",2014,25325,2230,21756,25028,30064
"Lower Gorge",2014,1876,631,828,1810,3365
"Mill, Abernathy, Germany, Coal",2014,4076,459,3486,3996,5132
"NF Lewis",2014,5230,852,3990,5100,7307
"NF Toutle",2014,5614,1672,3664,5266,9728
"Salmon Creek",2014,3785,1589,1526,3612,7769
"SF Toutle",2014,10850,4182,5723,9961,21564
"Tilton",2014,8918,97,8740,8916,9102
"Upper Cowlitz and Cispus",2014,6847,84,6680,6844,7013
"Washougal",2014,1013,416,416,951,1945
"Coweeman",2015,1397,340,806,1364,2097
"EF Lewis",2015,550,236,224,505,1062
"Elochoman, Skamokawa",2015,408,140,178,398,711
"Grays, Chinook",2015,348,97,173,347,548
"Kalama",2015,29,13,10,27,58
"Lower Cowlitz",2015,2683,494,1889,2646,3744
"Lower Gorge",2015,398,123,227,373,690
"Mill, Abernathy, Germany, Coal",2015,940,119,754,922,1218
"NF Lewis",2015,1067,157,794,1057,1409
"NF Toutle",2015,915,244,586,876,1530
"Salmon Creek",2015,715,306,295,657,1520
"SF Toutle",2015,1656,599,935,1538,2979
"Tilton",2015,1363,39,1290,1361,1442
"Upper Cowlitz and Cispus",2015,375,18,344,374,414
"Washougal",2015,161,69,68,144,301
"Coweeman",2016,3284,694,2028,3201,4829
"EF Lewis",2016,1193,496,448,1099,2527
"Elochoman, Skamokawa",2016,907,266,486,867,1490
"Grays, Chinook",2016,649,160,363,642,959
"Kalama",2016,76,38,26,69,169
"Lower Cowlitz",2016,4632,865,3405,4489,6883
"Lower Gorge",2016,827,294,442,762,1507
"Mill, Abernathy, Germany, Coal",2016,1677,190,1425,1643,2122
"NF Lewis",2016,3644,532,2799,3569,4728
"NF Toutle",2016,1958,363,1413,1905,2787
"Salmon Creek",2016,1545,683,739,1408,3322
"SF Toutle",2016,2641,919,1439,2460,4744
"Tilton",2016,2627,52,2534,2626,2736
"Upper Cowlitz and Cispus",2016,915,29,866,913,972
"Washougal",2016,325,111,144,314,582
"Coweeman",2017,2545,583,1660,2454,3935
"EF Lewis",2017,1576,550,771,1493,2801
"Elochoman, Skamokawa",2017,1039,273,628,993,1683
"Grays, Chinook",2017,446,152,200,430,790
"Kalama",2017,68,38,21,59,175
"Lower Cowlitz",2017,2966,632,2047,2885,4531
"Lower Gorge",2017,588,209,308,555,1114
"Mill, Abernathy, Germany, Coal",2017,1212,129,1018,1199,1483
"NF Lewis",2017,4594,533,3794,4507,5739
"NF Toutle",2017,978,233,620,959,1448
"Salmon Creek",2017,1362,595,653,1231,2732
"SF Toutle",2017,1313,466,527,1267,2332
"Tilton",2017,5195,72,5047,5193,5331
"Upper Cowlitz and Cispus",2017,5195,70,5045,5198,5322
"Washougal",2017,282,87,146,274,480
"Coweeman",2018,2796,793,1623,2662,4699
"EF Lewis",2018,1868,627,943,1725,3376
"Elochoman, Skamokawa",2018,1309,447,717,1220,2504
"Grays, Chinook",2018,497,169,226,483,867
"Kalama",2018,84,42,32,76,186
"Lower Cowlitz",2018,2974,493,2199,2911,4174
"Lower Gorge",2018,675,232,376,631,1236
"Mill, Abernathy, Germany, Coal",2018,1324,105,1116,1319,1541
"NF Lewis",2018,3224,743,2102,3148,4884
"NF Toutle",2018,1044,256,622,1014,1587
"Salmon Creek",2018,1357,592,670,1208,2890
"SF Toutle",2018,1278,485,551,1203,2415
"Tilton",2018,1321,37,1252,1320,1396
"Upper Cowlitz and Cispus",2018,171,12,149,171,196
"Washougal",2018,320,106,147,302,563
"Coweeman",2019,3699,764,2359,3653,5199
"EF Lewis",2019,2635,930,1306,2425,5026
"Elochoman, Skamokawa",2019,1940,508,1208,1877,3076
"Grays, Chinook",2019,801,317,331,762,1680
"Kalama",2019,140,65,53,127,319
"Lower Cowlitz",2019,3443,748,2339,3315,5050
"Lower Gorge",2019,1171,338,697,1108,2145
"Mill, Abernathy, Germany, Coal",2019,2201,155,1900,2202,2492
