"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Coweeman",2010,0.09,0.032,0.042,0.085,0.155
"EF Lewis",2010,0.245,0.09,0.091,0.232,0.459
"Elochoman, Skamokawa",2010,0.715,0.065,0.587,0.717,0.834
"Grays, Chinook",2010,0.797,0.05,0.695,0.798,0.888
"Kalama",2010,0.947,0.027,0.886,0.952,0.985
"Lower Cowlitz",2010,0.162,0.134,0.038,0.12,0.538
"Lower Gorge",2010,0.245,0.061,0.139,0.243,0.365
"Mill, Abernathy, Germany, Coal",2010,0.163,0.144,0.091,0.125,0.852
"NF Lewis",2010,0.265,0.036,0.193,0.266,0.331
"NF Toutle",2010,0.57,0.063,0.449,0.565,0.718
"Salmon Creek",2010,0.143,0.148,0.008,0.097,0.577
"SF Toutle",2010,0.206,0.038,0.137,0.203,0.291
"Tilton",2010,0.693,0.017,0.657,0.695,0.726
"Upper Cowlitz and Cispus",2010,0.874,0.003,0.869,0.874,0.879
"Washougal",2010,0.4,0.091,0.224,0.396,0.581
"Coweeman",2011,0.05,0.021,0.016,0.048,0.093
"EF Lewis",2011,0.076,0.048,0.015,0.065,0.191
"Elochoman, Skamokawa",2011,0.591,0.091,0.404,0.595,0.753
"Grays, Chinook",2011,0.923,0.022,0.875,0.924,0.96
"Kalama",2011,0.878,0.081,0.693,0.898,0.976
"Lower Cowlitz",2011,0.128,0.123,0.023,0.091,0.47
"Lower Gorge",2011,0.137,0.081,0.034,0.12,0.333
"Mill, Abernathy, Germany, Coal",2011,0.224,0.135,0.125,0.182,0.69
"NF Lewis",2011,0.234,0.026,0.185,0.234,0.287
"NF Toutle",2011,0.252,0.127,0.077,0.235,0.568
"Salmon Creek",2011,0.084,0.079,0.006,0.059,0.285
"SF Toutle",2011,0.135,0.074,0.03,0.121,0.303
"Tilton",2011,0.689,0.012,0.665,0.69,0.71
"Upper Cowlitz and Cispus",2011,0.607,0.005,0.597,0.607,0.617
"Washougal",2011,0.12,0.064,0.037,0.108,0.273
"Coweeman",2012,0.048,0.031,0.008,0.042,0.13
"EF Lewis",2012,0.076,0.042,0.019,0.07,0.18
"Elochoman, Skamokawa",2012,0.288,0.113,0.098,0.278,0.506
"Grays, Chinook",2012,0.431,0.129,0.172,0.431,0.682
"Kalama",2012,0.832,0.08,0.642,0.841,0.946
"Lower Cowlitz",2012,0.161,0.121,0.031,0.128,0.48
"Lower Gorge",2012,0.159,0.069,0.053,0.147,0.312
"Mill, Abernathy, Germany, Coal",2012,0.114,0.184,0.014,0.035,0.74
"NF Lewis",2012,0.162,0.035,0.106,0.156,0.248
"NF Toutle",2012,0.21,0.091,0.086,0.193,0.449
"Salmon Creek",2012,0.081,0.068,0.007,0.061,0.264
"SF Toutle",2012,0.119,0.06,0.032,0.111,0.253
"Tilton",2012,0.739,0.011,0.716,0.74,0.758
"Upper Cowlitz and Cispus",2012,0.58,0.009,0.561,0.581,0.598
"Washougal",2012,0.131,0.07,0.039,0.116,0.301
"Coweeman",2013,0.135,0.048,0.065,0.129,0.244
"EF Lewis",2013,0.093,0.036,0.038,0.088,0.175
"Elochoman, Skamokawa",2013,0.376,0.088,0.225,0.377,0.545
"Grays, Chinook",2013,0.639,0.055,0.525,0.643,0.736
"Kalama",2013,0.853,0.071,0.699,0.868,0.952
"Lower Cowlitz",2013,0.181,0.051,0.096,0.175,0.301
"Lower Gorge",2013,0.244,0.105,0.078,0.235,0.459
"Mill, Abernathy, Germany, Coal",2013,0.143,0.178,0.044,0.08,0.831
"NF Lewis",2013,0.836,0.027,0.769,0.841,0.874
"NF Toutle",2013,0.21,0.062,0.103,0.207,0.335
"Salmon Creek",2013,0.036,0.035,0.003,0.025,0.133
"SF Toutle",2013,0.148,0.051,0.067,0.14,0.259
"Tilton",2013,0.585,0.015,0.551,0.586,0.608
"Upper Cowlitz and Cispus",2013,0.998,0.001,0.996,0.998,0.999
"Washougal",2013,0.344,0.1,0.153,0.337,0.549
"Coweeman",2014,0.162,0.033,0.106,0.162,0.234
"EF Lewis",2014,0.175,0.062,0.072,0.171,0.322
"Elochoman, Skamokawa",2014,0.359,0.043,0.277,0.358,0.439
"Grays, Chinook",2014,0.406,0.081,0.249,0.401,0.562
"Kalama",2014,0.897,0.026,0.842,0.899,0.943
"Lower Cowlitz",2014,0.048,0.014,0.028,0.045,0.08
"Lower Gorge",2014,0.265,0.08,0.128,0.257,0.437
"Mill, Abernathy, Germany, Coal",2014,0.17,0.148,0.096,0.12,0.669
"NF Lewis",2014,0.643,0.027,0.583,0.645,0.689
"NF Toutle",2014,0.327,0.036,0.261,0.323,0.395
"Salmon Creek",2014,0.023,0.022,0.002,0.016,0.086
"SF Toutle",2014,0.195,0.022,0.154,0.194,0.241
"Tilton",2014,0.354,0.008,0.339,0.354,0.367
"Upper Cowlitz and Cispus",2014,0.767,0.003,0.761,0.767,0.773
"Washougal",2014,0.679,0.053,0.573,0.681,0.773
"Coweeman",2015,0.187,0.065,0.079,0.182,0.322
"EF Lewis",2015,0.208,0.101,0.061,0.186,0.446
"Elochoman, Skamokawa",2015,0.381,0.103,0.194,0.374,0.594
"Grays, Chinook",2015,0.478,0.128,0.238,0.481,0.71
"Kalama",2015,0.874,0.043,0.778,0.881,0.943
"Lower Cowlitz",2015,0.093,0.06,0.026,0.073,0.245
"Lower Gorge",2015,0.128,0.075,0.033,0.109,0.308
"Mill, Abernathy, Germany, Coal",2015,0.143,0.153,0.053,0.086,0.709
"NF Lewis",2015,0.78,0.025,0.728,0.781,0.825
"NF Toutle",2015,0.555,0.095,0.367,0.557,0.747
"Salmon Creek",2015,0.046,0.053,0.002,0.026,0.19
"SF Toutle",2015,0.491,0.079,0.317,0.492,0.634
"Tilton",2015,0.529,0.016,0.492,0.53,0.558
"Upper Cowlitz and Cispus",2015,0.711,0.013,0.685,0.712,0.736
"Washougal",2015,0.619,0.11,0.388,0.627,0.831
"Coweeman",2016,0.161,0.072,0.052,0.149,0.324
"EF Lewis",2016,0.349,0.14,0.116,0.328,0.648
"Elochoman, Skamokawa",2016,0.348,0.106,0.151,0.34,0.569
"Grays, Chinook",2016,0.574,0.105,0.366,0.573,0.763
"Kalama",2016,0.637,0.163,0.238,0.66,0.872
"Lower Cowlitz",2016,0.097,0.062,0.026,0.082,0.267
"Lower Gorge",2016,0.084,0.046,0.02,0.074,0.194
"Mill, Abernathy, Germany, Coal",2016,0.161,0.097,0.095,0.133,0.421
"NF Lewis",2016,0.629,0.031,0.564,0.63,0.685
"NF Toutle",2016,0.625,0.052,0.52,0.627,0.716
"Salmon Creek",2016,0.075,0.079,0.005,0.047,0.285
"SF Toutle",2016,0.23,0.067,0.118,0.224,0.377
"Tilton",2016,0.619,0.013,0.59,0.619,0.639
"Upper Cowlitz and Cispus",2016,0.906,0.004,0.899,0.906,0.913
"Washougal",2016,0.714,0.069,0.585,0.713,0.844
"Coweeman",2017,0.138,0.09,0.016,0.116,0.354
"EF Lewis",2017,0.38,0.104,0.182,0.376,0.611
"Elochoman, Skamokawa",2017,0.251,0.129,0.042,0.244,0.523
"Grays, Chinook",2017,0.657,0.116,0.383,0.672,0.84
"Kalama",2017,0.612,0.206,0.179,0.64,0.917
"Lower Cowlitz",2017,0.232,0.124,0.049,0.213,0.522
"Lower Gorge",2017,0.157,0.093,0.04,0.131,0.375
"Mill, Abernathy, Germany, Coal",2017,0.11,0.071,0.056,0.089,0.288
"NF Lewis",2017,0.526,0.025,0.473,0.527,0.569
"NF Toutle",2017,0.26,0.111,0.092,0.245,0.545
"Salmon Creek",2017,0.125,0.098,0.015,0.095,0.388
"SF Toutle",2017,0.102,0.068,0.015,0.089,0.261
"Tilton",2017,0.501,0.008,0.482,0.501,0.514
"Upper Cowlitz and Cispus",2017,0.553,0.007,0.539,0.552,0.567
"Washougal",2017,0.743,0.061,0.62,0.748,0.86
"Coweeman",2018,0.327,0.18,0.035,0.316,0.642
"EF Lewis",2018,0.139,0.064,0.047,0.132,0.304
"Elochoman, Skamokawa",2018,0.416,0.135,0.171,0.403,0.665
"Grays, Chinook",2018,0.671,0.113,0.434,0.675,0.873
"Kalama",2018,0.638,0.166,0.28,0.66,0.891
"Lower Cowlitz",2018,0.095,0.066,0.024,0.074,0.286
"Lower Gorge",2018,0.216,0.085,0.081,0.213,0.387
"Mill, Abernathy, Germany, Coal",2018,0.159,0.028,0.117,0.154,0.226
"NF Lewis",2018,0.704,0.044,0.608,0.705,0.775
"NF Toutle",2018,0.272,0.119,0.085,0.267,0.523
"Salmon Creek",2018,0.127,0.069,0.029,0.115,0.278
"SF Toutle",2018,0.099,0.085,0.011,0.074,0.363
"Tilton",2018,0.702,0.01,0.683,0.702,0.719
"Upper Cowlitz and Cispus",2018,0.971,0.002,0.967,0.971,0.975
"Washougal",2018,0.697,0.101,0.479,0.706,0.868
"Coweeman",2019,0.265,0.087,0.112,0.262,0.456
"EF Lewis",2019,0.091,0.058,0.02,0.075,0.24
"Elochoman, Skamokawa",2019,0.373,0.11,0.168,0.368,0.596
"Grays, Chinook",2019,0.57,0.155,0.234,0.597,0.832
"Kalama",2019,0.515,0.192,0.175,0.506,0.863
"Lower Cowlitz",2019,0.076,0.048,0.025,0.061,0.203
"Lower Gorge",2019,0.265,0.095,0.101,0.263,0.454
"Mill, Abernathy, Germany, Coal",2019,0.277,0.024,0.238,0.273,0.331
"NF Lewis",2019,0.556,0.04,0.467,0.559,0.627
