"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Grays_Chinook",2010,2425,946,1137,2220,5009
"Elochoman_Skamokawa",2010,3582,1124,2055,3424,6612
"Abernathy",2010,587,62,470,585,733
"Abernathy_Above AFTC",2010,316,181,127,282,697
"Mill",2010,301,200,79,243,915
"Germany",2010,229,136,74,198,557
"Coal",2010,194,179,35,152,547
"Upper Cowlitz and Cispus",2010,22061,293,21473,22067,22582
"Tilton",2010,2928,155,2613,2930,3215
"Lower Cowlitz",2010,2756,1059,1344,2577,5323
"Delameter_Above Weir",2010,236,140,74,202,634
"Lacamas_Above Weir",2010,2270,2246,325,1555,8029
"Olequa_Above Weir",2010,1890,977,698,1707,4303
"Ostrander_Above Weir",2010,245,174,51,195,721
"Green",2010,2936,612,1958,2870,4323
"Upper NF Toutle",2010,206,15,177,205,236
"NF_MS Toutle",2010,1275,1221,269,911,4817
"SF Toutle",2010,2366,850,1175,2235,4306
"Coweeman",2010,4690,1163,2847,4542,7196
"Kalama",2010,1947,1725,478,1436,5486
"Lower Lewis",2010,1040,739,277,820,2737
"Upper NF Lewis",2010,0,0,0,0,0
"Cedar",2010,2145,129,1910,2132,2418
"EF Lewis",2010,2217,838,990,2074,4170
"Salmon Creek",2010,2430,3682,538,1700,8810
"Washougal",2010,1132,409,562,1063,2042
"Lower Gorge",2010,790,327,363,738,1543
"Duncan_Above Weir",2010,71,15,46,69,105
"Grays_Chinook",2011,4563,2033,1894,4239,9548
"Elochoman_Skamokawa",2011,1737,473,1049,1670,2879
"Abernathy",2011,332,35,272,330,411
"Abernathy_Above AFTC",2011,230,87,91,217,420
"Mill",2011,192,108,65,171,465
"Germany",2011,172,106,54,145,440
"Coal",2011,166,177,23,120,689
"Upper Cowlitz and Cispus",2011,19396,288,18759,19412,19952
"Tilton",2011,6324,225,5874,6321,6776
"Lower Cowlitz",2011,1742,727,820,1564,3397
"Delameter_Above Weir",2011,159,73,60,141,339
"Lacamas_Above Weir",2011,2287,3890,186,1422,8124
"Olequa_Above Weir",2011,1441,641,695,1284,3165
"Ostrander_Above Weir",2011,144,122,33,113,409
"Green",2011,614,167,318,607,964
"Upper NF Toutle",2011,57,8,43,56,75
"NF_MS Toutle",2011,842,560,237,685,2269
"SF Toutle",2011,1572,626,593,1491,3074
"Coweeman",2011,4037,972,2598,3861,6348
