"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Grays_Chinook",2010,0.785,0.051,0.676,0.789,0.871
"Elochoman_Skamokawa",2010,0.713,0.056,0.593,0.717,0.817
"Abernathy",2010,0.126,0.026,0.086,0.125,0.18
"Abernathy_Above AFTC",2010,0.122,0.021,0.085,0.12,0.163
"Mill",2010,0.122,0.024,0.079,0.12,0.171
"Germany",2010,0.124,0.022,0.085,0.123,0.163
"Coal",2010,0.121,0.02,0.082,0.12,0.165
"Upper Cowlitz and Cispus",2010,0.874,0.002,0.87,0.874,0.879
"Tilton",2010,0.693,0.016,0.659,0.695,0.721
"Lower Cowlitz",2010,0.113,0.076,0.015,0.093,0.321
"Delameter_Above Weir",2010,0.08,0.116,0.001,0.032,0.432
"Lacamas_Above Weir",2010,0.214,0.228,0.006,0.131,0.792
"Olequa_Above Weir",2010,0.11,0.068,0.018,0.095,0.277
"Ostrander_Above Weir",2010,0.257,0.195,0.017,0.216,0.729
"Green",2010,0.671,0.031,0.612,0.67,0.726
"Upper NF Toutle",2010,0.002,0.002,0,0.001,0.008
"NF_MS Toutle",2010,0.313,0.226,0.027,0.254,0.824
"SF Toutle",2010,0.206,0.04,0.135,0.204,0.288
"Coweeman",2010,0.09,0.029,0.043,0.087,0.156
"Kalama",2010,0.952,0.023,0.896,0.954,0.989
"Lower Lewis",2010,0.118,0.09,0.014,0.096,0.333
"Upper NF Lewis",2010,0.663,0.26,0.11,0.72,0.985
"Cedar",2010,0.324,0.027,0.268,0.325,0.376
"EF Lewis",2010,0.244,0.095,0.084,0.238,0.467
"Salmon Creek",2010,0.155,0.185,0.003,0.087,0.692
"Washougal",2010,0.403,0.091,0.235,0.394,0.591
"Lower Gorge",2010,0.271,0.067,0.16,0.263,0.406
"Duncan_Above Weir",2010,0.028,0.025,0.002,0.02,0.097
"Grays_Chinook",2011,0.923,0.023,0.867,0.927,0.961
"Elochoman_Skamokawa",2011,0.583,0.086,0.428,0.583,0.743
"Abernathy",2011,0.182,0.037,0.114,0.181,0.264
"Abernathy_Above AFTC",2011,0.187,0.035,0.129,0.185,0.258
"Mill",2011,0.19,0.038,0.118,0.187,0.265
"Germany",2011,0.189,0.037,0.123,0.187,0.266
"Coal",2011,0.187,0.034,0.116,0.187,0.26
"Upper Cowlitz and Cispus",2011,0.608,0.006,0.595,0.607,0.619
"Tilton",2011,0.689,0.011,0.664,0.69,0.709
"Lower Cowlitz",2011,0.137,0.103,0.015,0.111,0.414
