"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Grays_Chinook",2010,495,198,205,463,947
"Elochoman_Skamokawa",2010,992,315,517,942,1742
"Abernathy",2010,514,52,418,511,625
"Abernathy_Above AFTC",2010,263,125,96,241,557
"Mill",2010,264,190,63,219,737
"Germany",2010,204,138,51,173,554
"Coal",2010,162,136,28,124,513
"Upper Cowlitz and Cispus",2010,2775,52,2674,2775,2876
"Tilton",2010,897,29,841,897,955
"Lower Cowlitz",2010,2371,907,1137,2199,4646
"Delameter_Above Weir",2010,192,104,62,172,431
"Lacamas_Above Weir",2010,1522,1385,232,1116,5247
"Olequa_Above Weir",2010,1613,866,582,1403,3891
"Ostrander_Above Weir",2010,147,96,40,125,388
"Green",2010,938,199,618,914,1406
"Upper NF Toutle",2010,205,14,179,204,233
"NF_MS Toutle",2010,670,405,189,579,1697
"SF Toutle",2010,1947,705,914,1822,3678
"Coweeman",2010,4121,852,2761,4031,6116
"Kalama",2010,82,56,20,68,226
"Lower Lewis",2010,803,434,302,697,1921
"Upper NF Lewis",2010,0,0,0,0,0
"Cedar",2010,1455,116,1242,1449,1696
"EF Lewis",2010,1469,510,733,1385,2684
"Salmon Creek",2010,1449,848,487,1258,3581
"Washougal",2010,730,290,349,669,1461
"Lower Gorge",2010,550,204,275,509,1053
"Duncan_Above Weir",2010,68,14,44,66,100
"Grays_Chinook",2011,337,134,137,315,644
"Elochoman_Skamokawa",2011,717,227,388,683,1265
"Abernathy",2011,270,31,213,269,336
"Abernathy_Above AFTC",2011,186,78,77,172,372
"Mill",2011,160,110,43,135,423
"Germany",2011,143,99,37,120,395
"Coal",2011,132,204,15,89,495
"Upper Cowlitz and Cispus",2011,7613,87,7445,7610,7786
"Tilton",2011,1962,44,1876,1963,2046
"Lower Cowlitz",2011,1417,529,664,1324,2736
"Delameter_Above Weir",2011,141,65,50,129,307
"Lacamas_Above Weir",2011,1616,1902,161,1070,6384
"Olequa_Above Weir",2011,1425,775,599,1235,3403
"Ostrander_Above Weir",2011,106,74,23,88,290
"Green",2011,490,149,233,478,807
"Upper NF Toutle",2011,57,8,43,56,72
"NF_MS Toutle",2011,500,281,159,438,1202
"SF Toutle",2011,1347,508,588,1287,2540
"Coweeman",2011,3845,788,2601,3738,5685
"Kalama",2011,46,32,11,39,113
"Lower Lewis",2011,551,300,214,479,1289
"Upper NF Lewis",2011,0,0,0,0,0
"Cedar",2011,918,53,823,916,1029
"EF Lewis",2011,1435,473,745,1365,2515
"Salmon Creek",2011,924,472,393,826,1973
"Washougal",2011,487,188,240,446,955
"Lower Gorge",2011,443,149,233,415,810
"Duncan_Above Weir",2011,60,11,42,59,84
"Grays_Chinook",2012,480,157,229,460,846
"Elochoman_Skamokawa",2012,579,179,285,555,985
"Abernathy",2012,299,38,232,297,379
"Abernathy_Above AFTC",2012,214,73,107,203,378
"Mill",2012,154,84,51,140,343
"Germany",2012,156,87,50,138,366
"Coal",2012,166,300,15,105,687
"Upper Cowlitz and Cispus",2012,1601,40,1522,1600,1680
"Tilton",2012,1270,36,1200,1269,1341
"Lower Cowlitz",2012,1536,625,656,1423,3086
