"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Grays_Chinook",2010,2538,1077,1138,2316,5273
"Elochoman_Skamokawa",2010,3569,980,2076,3411,5891
"Abernathy",2010,591,58,487,587,714
"Abernathy_Above AFTC",2010,297,127,117,277,592
"Mill",2010,291,184,83,249,774
"Germany",2010,231,152,56,195,603
"Coal",2010,192,200,35,145,612
"Upper Cowlitz and Cispus",2010,22075,287,21486,22085,22610
"Tilton",2010,2935,152,2622,2940,3213
"Lower Cowlitz",2010,2650,1004,1355,2460,5142
"Delameter_Above Weir",2010,214,108,73,193,472
"Lacamas_Above Weir",2010,2857,5887,289,1574,12826
"Olequa_Above Weir",2010,1946,1092,673,1662,4783
"Ostrander_Above Weir",2010,212,156,54,170,604
"Green",2010,2874,594,1943,2800,4255
"Upper NF Toutle",2010,206,14,179,206,235
"NF_MS Toutle",2010,1251,1481,266,899,4263
"SF Toutle",2010,2508,841,1277,2376,4485
"Coweeman",2010,4417,950,2900,4312,6629
"Kalama",2010,2346,2560,463,1616,8737
"Lower Lewis",2010,999,592,349,854,2533
"Upper NF Lewis",2010,0,0,0,0,0
"Cedar",2010,2158,148,1887,2152,2463
"EF Lewis",2010,2055,744,995,1932,3875
"Salmon Creek",2010,1828,1282,600,1514,5004
"Washougal",2010,1264,487,619,1168,2469
"Lower Gorge",2010,787,286,390,731,1482
"Duncan_Above Weir",2010,71,15,45,69,105
"Grays_Chinook",2011,5214,2518,2103,4701,11219
"Elochoman_Skamokawa",2011,1739,454,1043,1671,2841
"Abernathy",2011,334,37,265,332,411
"Abernathy_Above AFTC",2011,219,82,96,208,411
"Mill",2011,189,107,59,166,459
"Germany",2011,167,105,43,142,429
"Coal",2011,155,195,21,108,533
"Upper Cowlitz and Cispus",2011,19392,275,18820,19398,19884
"Tilton",2011,6318,241,5821,6327,6764
"Lower Cowlitz",2011,1621,613,784,1501,3122
"Delameter_Above Weir",2011,143,59,59,134,284
"Lacamas_Above Weir",2011,2301,4350,178,1276,10537
"Olequa_Above Weir",2011,1500,782,632,1312,3407
"Ostrander_Above Weir",2011,124,86,29,103,355
"Green",2011,629,176,321,614,1025
"Upper NF Toutle",2011,57,8,43,56,72
"NF_MS Toutle",2011,789,590,228,646,2215
"SF Toutle",2011,1590,586,716,1512,2958
"Coweeman",2011,4254,887,2837,4129,6334
"Kalama",2011,532,487,124,399,1790
"Lower Lewis",2011,722,415,272,623,1753
"Upper NF Lewis",2011,0,0,0,0,0
