"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Grays_Chinook",2010,559,205,249,531,1039
"Elochoman_Skamokawa",2010,1028,307,558,982,1743
"Abernathy",2010,523,53,428,521,633
"Abernathy_Above AFTC",2010,268,111,108,251,528
"Mill",2010,261,169,72,221,673
"Germany",2010,209,134,56,178,568
"Coal",2010,166,154,30,130,505
"Upper Cowlitz and Cispus",2010,2774,52,2674,2773,2879
"Tilton",2010,898,29,843,898,955
"Lower Cowlitz",2010,2319,831,1209,2153,4400
"Delameter_Above Weir",2010,197,104,68,174,461
"Lacamas_Above Weir",2010,1626,4426,273,1159,5108
"Olequa_Above Weir",2010,1671,912,622,1452,3949
"Ostrander_Above Weir",2010,146,90,40,121,381
"Green",2010,964,190,647,944,1391
"Upper NF Toutle",2010,206,14,179,205,235
"NF_MS Toutle",2010,696,373,216,618,1629
"SF Toutle",2010,2095,702,1070,1984,3734
"Coweeman",2010,4212,848,2821,4123,6069
"Kalama",2010,84,53,23,72,221
"Lower Lewis",2010,903,520,331,777,2248
"Upper NF Lewis",2010,0,0,0,0,0
"Cedar",2010,1459,113,1257,1451,1693
"EF Lewis",2010,1608,560,788,1513,2936
"Salmon Creek",2010,1476,724,560,1322,3395
"Washougal",2010,743,287,378,683,1434
"Lower Gorge",2010,593,211,297,556,1103
"Duncan_Above Weir",2010,69,14,45,68,101
"Grays_Chinook",2011,384,135,156,371,677
"Elochoman_Skamokawa",2011,711,198,405,684,1181
"Abernathy",2011,278,31,222,277,343
"Abernathy_Above AFTC",2011,183,67,84,172,349
"Mill",2011,156,90,47,137,376
"Germany",2011,139,86,42,121,346
"Coal",2011,126,133,16,89,465
"Upper Cowlitz and Cispus",2011,7612,86,7443,7613,7780
"Tilton",2011,1962,43,1879,1962,2047
"Lower Cowlitz",2011,1396,469,731,1303,2560
"Delameter_Above Weir",2011,139,64,55,127,297
"Lacamas_Above Weir",2011,1574,1939,171,1015,6161
"Olequa_Above Weir",2011,1422,771,599,1232,3302
"Ostrander_Above Weir",2011,101,69,23,84,273
"Green",2011,557,139,304,553,842
"Upper NF Toutle",2011,56,7,43,56,72
"NF_MS Toutle",2011,499,264,171,444,1194
"SF Toutle",2011,1427,488,669,1362,2582
"Coweeman",2011,4069,839,2753,3962,6013
"Kalama",2011,48,28,15,42,115
"Lower Lewis",2011,610,350,230,518,1495
"Upper NF Lewis",2011,0,0,0,0,0
"Cedar",2011,920,53,823,917,1030
"EF Lewis",2011,1489,479,786,1410,2652
"Salmon Creek",2011,936,384,422,860,1893
