"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Coweeman",2010,419,170,167,392,834
"EF Lewis",2010,517,298,147,449,1274
"Elochoman, Skamokawa",2010,2572,799,1388,2441,4538
"Grays, Chinook",2010,2109,956,908,1903,4444
"Kalama",2010,2226,2211,451,1596,7632
"Lower Cowlitz",2010,1985,7731,256,897,8781
"Lower Gorge",2010,221,108,84,198,502
"Mill, Abernathy, Germany, Coal",2010,164,45,102,156,269
"NF Lewis",2010,824,165,620,795,1218
"NF Toutle",2010,2552,1419,1478,2283,5267
"Salmon Creek",2010,359,868,4,109,2218
"SF Toutle",2010,546,229,234,503,1112
"Tilton",2010,2042,144,1737,2048,2303
"Upper Cowlitz and Cispus",2010,19300,278,18723,19308,19824
"Washougal",2010,525,250,194,475,1129
"Coweeman",2011,220,109,67,201,488
"EF Lewis",2011,116,88,19,93,352
"Elochoman, Skamokawa",2011,1054,350,514,1007,1887
"Grays, Chinook",2011,5214,2479,2106,4664,11256
"Kalama",2011,526,555,88,371,1990
"Lower Cowlitz",2011,945,2306,129,512,4118
"Lower Gorge",2011,85,69,15,66,265
"Mill, Abernathy, Germany, Coal",2011,161,50,94,152,284
"NF Lewis",2011,460,117,328,433,743
"NF Toutle",2011,428,399,85,315,1377
"Salmon Creek",2011,97,137,3,49,472
"SF Toutle",2011,239,178,40,191,716
"Tilton",2011,4358,222,3900,4371,4766
"Upper Cowlitz and Cispus",2011,11781,251,11259,11791,12250
"Washougal",2011,71,56,12,56,214
"Coweeman",2012,199,148,37,161,581
"EF Lewis",2012,282,186,57,240,749
"Elochoman, Skamokawa",2012,269,156,72,238,662
"Grays, Chinook",2012,411,230,119,359,974
"Kalama",2012,278,171,86,237,728
"Lower Cowlitz",2012,1211,1710,172,789,4704
"Lower Gorge",2012,117,72,31,100,307
"Mill, Abernathy, Germany, Coal",2012,21,9,10,19,40
"NF Lewis",2012,303,83,188,289,499
"NF Toutle",2012,433,261,136,371,1082
"Salmon Creek",2012,76,83,5,49,303
"SF Toutle",2012,327,203,77,280,843
"Tilton",2012,3599,200,3170,3607,3962
"Upper Cowlitz and Cispus",2012,2213,67,2073,2215,2336
"Washougal",2012,74,48,16,64,197
"Coweeman",2013,665,293,242,611,1365
"EF Lewis",2013,312,158,104,282,711
"Elochoman, Skamokawa",2013,613,229,275,579,1158
"Grays, Chinook",2013,1611,446,946,1539,2714
"Kalama",2013,400,244,124,341,1030
"Lower Cowlitz",2013,1709,624,813,1603,3170
"Lower Gorge",2013,238,130,69,211,564
"Mill, Abernathy, Germany, Coal",2013,84,38,45,78,147
"NF Lewis",2013,7565,247,7235,7523,8158
"NF Toutle",2013,695,319,279,631,1476
"Salmon Creek",2013,47,60,3,30,190
"SF Toutle",2013,570,281,193,515,1280
"Tilton",2013,3754,239,3255,3766,4190
"Upper Cowlitz and Cispus",2013,5805,276,5224,5826,6291
"Washougal",2013,295,144,101,268,650
"Coweeman",2014,1551,470,815,1484,2631
"EF Lewis",2014,1177,613,365,1044,2714
"Elochoman, Skamokawa",2014,2102,543,1268,2025,3351
"Grays, Chinook",2014,1999,485,1205,1947,3057
"Kalama",2014,1456,759,517,1285,3385
"Lower Cowlitz",2014,1419,562,762,1291,2863
"Lower Gorge",2014,795,414,243,713,1816
"Mill, Abernathy, Germany, Coal",2014,487,129,360,461,768
"NF Lewis",2014,9622,577,8826,9525,10974
"NF Toutle",2014,2797,818,1698,2658,4737
"Salmon Creek",2014,94,97,6,62,365
"SF Toutle",2014,2595,868,1389,2439,4714
"Tilton",2014,4874,156,4566,4879,5157
"Upper Cowlitz and Cispus",2014,22564,301,21942,22572,23134
"Washougal",2014,2283,908,986,2125,4505
"Coweeman",2015,352,179,106,320,785
"EF Lewis",2015,167,122,31,135,490
"Elochoman, Skamokawa",2015,257,126,88,232,571
"Grays, Chinook",2015,322,146,125,296,672
"Kalama",2015,237,123,82,212,542
"Lower Cowlitz",2015,283,208,80,225,838
"Lower Gorge",2015,70,51,13,57,202
"Mill, Abernathy, Germany, Coal",2015,67,21,38,64,111
"NF Lewis",2015,3762,135,3582,3738,4085
"NF Toutle",2015,1276,568,545,1155,2680
"Salmon Creek",2015,37,56,2,19,187
"SF Toutle",2015,1823,717,821,1695,3550
"Tilton",2015,1526,95,1322,1530,1693
"Upper Cowlitz and Cispus",2015,920,43,830,922,1002
"Washougal",2015,292,155,97,258,694
"Coweeman",2016,693,357,201,627,1601
"EF Lewis",2016,950,696,181,773,2701
"Elochoman, Skamokawa",2016,522,250,174,473,1164
"Grays, Chinook",2016,958,323,486,910,1735
"Kalama",2016,161,118,33,132,470
"Lower Cowlitz",2016,575,435,132,457,1780
"Lower Gorge",2016,76,52,16,64,213
"Mill, Abernathy, Germany, Coal",2016,217,43,158,211,306
"NF Lewis",2016,6164,250,5827,6120,6803
"NF Toutle",2016,3434,900,2162,3305,5353
"Salmon Creek",2016,130,165,6,76,581
"SF Toutle",2016,910,428,338,828,1949
"Tilton",2016,4258,230,3778,4266,4676
"Upper Cowlitz and Cispus",2016,8809,248,8290,8815,9262
"Washougal",2016,931,369,418,865,1858
