"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Coweeman",2010,0.09,0.031,0.041,0.087,0.159
"EF Lewis",2010,0.239,0.089,0.094,0.229,0.438
"Elochoman, Skamokawa",2010,0.71,0.063,0.578,0.714,0.82
"Grays, Chinook",2010,0.782,0.052,0.671,0.785,0.875
"Kalama",2010,0.953,0.025,0.893,0.957,0.989
"Lower Cowlitz",2010,0.179,0.135,0.047,0.138,0.572
"Lower Gorge",2010,0.245,0.062,0.136,0.241,0.375
"Mill, Abernathy, Germany, Coal",2010,0.124,0.014,0.098,0.123,0.152
"NF Lewis",2010,0.261,0.038,0.186,0.261,0.339
"NF Toutle",2010,0.565,0.069,0.442,0.561,0.725
"Salmon Creek",2010,0.14,0.163,0.003,0.075,0.62
"SF Toutle",2010,0.205,0.039,0.134,0.203,0.286
"Tilton",2010,0.694,0.016,0.659,0.695,0.722
"Upper Cowlitz and Cispus",2010,0.874,0.003,0.869,0.874,0.879
"Washougal",2010,0.408,0.09,0.236,0.406,0.583
"Coweeman",2011,0.051,0.023,0.017,0.048,0.106
"EF Lewis",2011,0.072,0.046,0.014,0.061,0.192
"Elochoman, Skamokawa",2011,0.59,0.089,0.407,0.596,0.751
"Grays, Chinook",2011,0.926,0.023,0.875,0.928,0.964
"Kalama",2011,0.877,0.089,0.643,0.901,0.978
"Lower Cowlitz",2011,0.14,0.11,0.03,0.108,0.447
"Lower Gorge",2011,0.137,0.083,0.032,0.119,0.341
"Mill, Abernathy, Germany, Coal",2011,0.187,0.021,0.15,0.186,0.229
"NF Lewis",2011,0.232,0.028,0.179,0.231,0.291
"NF Toutle",2011,0.251,0.12,0.078,0.23,0.547
"Salmon Creek",2011,0.086,0.092,0.003,0.054,0.344
"SF Toutle",2011,0.139,0.077,0.032,0.125,0.325
"Tilton",2011,0.689,0.011,0.665,0.69,0.71
"Upper Cowlitz and Cispus",2011,0.607,0.005,0.596,0.608,0.617
"Washougal",2011,0.125,0.072,0.028,0.112,0.299
"Coweeman",2012,0.048,0.033,0.009,0.041,0.136
"EF Lewis",2012,0.078,0.042,0.02,0.07,0.183
"Elochoman, Skamokawa",2012,0.287,0.113,0.1,0.276,0.532
"Grays, Chinook",2012,0.428,0.124,0.197,0.425,0.669
"Kalama",2012,0.836,0.075,0.652,0.848,0.946
"Lower Cowlitz",2012,0.167,0.111,0.036,0.14,0.449
"Lower Gorge",2012,0.165,0.073,0.057,0.154,0.337
"Mill, Abernathy, Germany, Coal",2012,0.026,0.006,0.016,0.025,0.04
"NF Lewis",2012,0.158,0.035,0.1,0.155,0.237
"NF Toutle",2012,0.213,0.083,0.083,0.201,0.405
"Salmon Creek",2012,0.069,0.062,0.005,0.049,0.236
"SF Toutle",2012,0.127,0.061,0.038,0.117,0.274
"Tilton",2012,0.739,0.012,0.714,0.74,0.76
"Upper Cowlitz and Cispus",2012,0.58,0.009,0.562,0.581,0.597
"Washougal",2012,0.139,0.071,0.036,0.128,0.308
"Coweeman",2013,0.132,0.05,0.052,0.125,0.244
"EF Lewis",2013,0.093,0.034,0.039,0.089,0.171
"Elochoman, Skamokawa",2013,0.383,0.087,0.221,0.38,0.558
"Grays, Chinook",2013,0.648,0.055,0.535,0.648,0.75
"Kalama",2013,0.849,0.077,0.662,0.863,0.956
"Lower Cowlitz",2013,0.203,0.052,0.112,0.199,0.318
"Lower Gorge",2013,0.233,0.091,0.085,0.226,0.436
"Mill, Abernathy, Germany, Coal",2013,0.075,0.016,0.048,0.074,0.109
"NF Lewis",2013,0.84,0.024,0.78,0.843,0.876
"NF Toutle",2013,0.211,0.063,0.103,0.206,0.347
"Salmon Creek",2013,0.034,0.034,0.002,0.024,0.128
"SF Toutle",2013,0.147,0.051,0.062,0.142,0.259
"Tilton",2013,0.585,0.015,0.552,0.587,0.612
"Upper Cowlitz and Cispus",2013,0.998,0.001,0.996,0.998,0.999
"Washougal",2013,0.353,0.1,0.17,0.349,0.56
"Coweeman",2014,0.161,0.032,0.105,0.159,0.229
"EF Lewis",2014,0.179,0.061,0.075,0.173,0.311
"Elochoman, Skamokawa",2014,0.357,0.044,0.273,0.357,0.444
"Grays, Chinook",2014,0.417,0.078,0.27,0.419,0.569
"Kalama",2014,0.893,0.028,0.833,0.895,0.94
"Lower Cowlitz",2014,0.051,0.018,0.029,0.048,0.095
"Lower Gorge",2014,0.267,0.08,0.126,0.261,0.437
"Mill, Abernathy, Germany, Coal",2014,0.12,0.008,0.105,0.12,0.137
"NF Lewis",2014,0.472,0.035,0.405,0.472,0.537
"NF Toutle",2014,0.324,0.035,0.26,0.323,0.397
"Salmon Creek",2014,0.024,0.022,0.002,0.017,0.083
"SF Toutle",2014,0.193,0.023,0.152,0.192,0.24
"Tilton",2014,0.353,0.007,0.339,0.354,0.367
"Upper Cowlitz and Cispus",2014,0.767,0.003,0.761,0.767,0.773
"Washougal",2014,0.675,0.053,0.568,0.676,0.776
"Coweeman",2015,0.198,0.076,0.074,0.19,0.367
"EF Lewis",2015,0.199,0.099,0.051,0.184,0.431
"Elochoman, Skamokawa",2015,0.354,0.103,0.172,0.351,0.572
"Grays, Chinook",2015,0.457,0.115,0.234,0.455,0.678
"Kalama",2015,0.874,0.043,0.777,0.879,0.944
"Lower Cowlitz",2015,0.092,0.057,0.029,0.077,0.244
"Lower Gorge",2015,0.142,0.079,0.034,0.127,0.333
"Mill, Abernathy, Germany, Coal",2015,0.074,0.016,0.047,0.073,0.108
"NF Lewis",2015,0.781,0.028,0.718,0.784,0.828
"NF Toutle",2015,0.551,0.097,0.361,0.552,0.737
"Salmon Creek",2015,0.046,0.056,0.002,0.027,0.202
"SF Toutle",2015,0.498,0.078,0.346,0.5,0.647
"Tilton",2015,0.528,0.016,0.494,0.529,0.557
"Upper Cowlitz and Cispus",2015,0.711,0.014,0.683,0.711,0.738
"Washougal",2015,0.608,0.11,0.382,0.613,0.805
"Coweeman",2016,0.163,0.071,0.053,0.153,0.331
"EF Lewis",2016,0.377,0.153,0.117,0.366,0.684
"Elochoman, Skamokawa",2016,0.34,0.108,0.149,0.334,0.56
"Grays, Chinook",2016,0.566,0.101,0.359,0.568,0.757
"Kalama",2016,0.641,0.165,0.275,0.665,0.898
"Lower Cowlitz",2016,0.105,0.066,0.027,0.088,0.277
"Lower Gorge",2016,0.083,0.045,0.022,0.075,0.191
"Mill, Abernathy, Germany, Coal",2016,0.129,0.012,0.106,0.129,0.154
"NF Lewis",2016,0.625,0.034,0.551,0.628,0.683
"NF Toutle",2016,0.618,0.052,0.515,0.619,0.715
"Salmon Creek",2016,0.072,0.074,0.004,0.048,0.283
"SF Toutle",2016,0.232,0.066,0.119,0.227,0.371
"Tilton",2016,0.618,0.013,0.59,0.619,0.641
"Upper Cowlitz and Cispus",2016,0.906,0.004,0.899,0.906,0.913
"Washougal",2016,0.711,0.073,0.559,0.716,0.838
"Coweeman",2017,0.129,0.086,0.021,0.109,0.344
"EF Lewis",2017,0.373,0.107,0.171,0.37,0.588
"Elochoman, Skamokawa",2017,0.28,0.135,0.063,0.265,0.56
"Grays, Chinook",2017,0.648,0.103,0.424,0.655,0.828
"Kalama",2017,0.591,0.19,0.196,0.611,0.902
"Lower Cowlitz",2017,0.248,0.133,0.05,0.228,0.551
"Lower Gorge",2017,0.159,0.094,0.032,0.138,0.396
"Mill, Abernathy, Germany, Coal",2017,0.083,0.011,0.063,0.083,0.107
"NF Lewis",2017,0.522,0.028,0.463,0.524,0.57
"NF Toutle",2017,0.284,0.126,0.108,0.262,0.602
"Salmon Creek",2017,0.13,0.097,0.015,0.105,0.371
"SF Toutle",2017,0.106,0.074,0.017,0.087,0.294
"Tilton",2017,0.5,0.008,0.484,0.5,0.515
"Upper Cowlitz and Cispus",2017,0.552,0.007,0.537,0.552,0.565
"Washougal",2017,0.75,0.062,0.616,0.754,0.859
"Coweeman",2018,0.263,0.164,0.032,0.235,0.616
"EF Lewis",2018,0.137,0.063,0.041,0.129,0.285
"Elochoman, Skamokawa",2018,0.424,0.135,0.168,0.422,0.674
"Grays, Chinook",2018,0.664,0.102,0.449,0.672,0.844
"Kalama",2018,0.667,0.149,0.33,0.687,0.9
"Lower Cowlitz",2018,0.109,0.075,0.026,0.088,0.307
"Lower Gorge",2018,0.207,0.085,0.072,0.2,0.393
"Mill, Abernathy, Germany, Coal",2018,0.155,0.023,0.114,0.152,0.205
"NF Lewis",2018,0.655,0.06,0.52,0.66,0.757
"NF Toutle",2018,0.281,0.123,0.097,0.264,0.577
