"Population","Recovery.Goal","n","prop_abv_goal","med.NOR","range_NOR","med.NOR_Density","range_NOR_density","med.PHOS","range_pHOS","med.HOR","range_HOR"
"Coweeman",1200,16,"100.0%",3877,"(1355-7855)",40.46,"(14.14-81.98)",0.15,"(0.04-0.25)",559,"(161-1484)"
"EF Lewis",2000,9,"56.2%",2393,"(611-5072)",18.33,"(4.68-38.86)",0.09,"(0.05-0.37)",262,"(93-1044)"
"Elochoman, Skamokawa",2400,1,"6.2%",1154,"(442-3635)",7.16,"(2.74-22.56)",0.37,"(0.16-0.71)",732,"(220-2441)"
"Grays, Chinook",2400,1,"6.2%",839,"(359-2730)",3.75,"(1.6-12.21)",0.57,"(0.36-0.93)",997,"(296-4664)"
"Kalama",500,0,"0.0%",105,"(30-245)",2.41,"(0.68-5.65)",0.72,"(0.54-0.96)",325,"(90-1596)"
"Lower Cowlitz",3700,12,"75.0%",4884,"(2648-25867)",7.83,"(4.24-41.45)",0.12,"(0.03-0.23)",745,"(225-1603)"
"Lower Gorge",1900,1,"6.2%",931,"(391-2033)",17.63,"(7.4-38.5)",0.15,"(0.06-0.27)",134,"(57-713)"
"Mill, Abernathy, Germany, Coal",1800,8,"50.0%",1624,"(662-4254)",14.89,"(6.07-39.02)",0.14,"(0.03-0.27)",240,"(19-1506)"
"NF Lewis",500,16,"100.0%",4197,"(1037-10730)",15.38,"(3.8-39.32)",0.57,"(0.15-0.84)",6821,"(289-9719)"
"NF Toutle",1900,10,"62.5%",2297,"(939-5540)",10.15,"(4.15-24.47)",0.21,"(0.04-0.62)",450,"(154-3305)"
"Salmon Creek",NA,0,"0.0%",1291,"(685-3587)",6.87,"(3.65-19.1)",0.05,"(0.02-0.11)",69,"(19-198)"
"SF Toutle",1900,12,"75.0%",2298,"(1310-10162)",25.12,"(14.32-111.09)",0.12,"(0.02-0.5)",286,"(83-2439)"
"Tilton",NA,0,"0.0%",1760,"(830-8913)",15.73,"(7.42-79.67)",0.69,"(0.35-0.91)",5041,"(1530-10813)"
"Upper Cowlitz and Cispus",2000,11,"68.8%",5729,"(13-13187)",17.06,"(0.04-39.26)",0.62,"(0.51-1)",10303,"(922-22572)"
"WA LCR ESU",23700,14,"87.5%",31330,"(13250-99118)",11.42,"(4.83-36.12)",0.46,"(0.28-0.57)",27688,"(9472-55640)"
"Washougal",1500,0,"0.0%",644,"(166-1109)",8.36,"(2.16-14.4)",0.39,"(0.11-0.75)",393,"(56-2125)"
